"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.687041658E-3,3.901786194E0,5.740712128E0,7.567213898E0,1.026851681E1
1.172804163E-2,3.750301208E0,5.825286255E0,7.655829620E0,1.032523347E1
2.176904166E-2,3.737877045E0,5.852978668E0,7.783813477E0,1.043153087E1
3.181004163E-2,3.551364899E0,5.593717804E0,8.092621307E0,1.045908175E1
4.185104166E-2,3.551364899E0,5.307812347E0,8.329279175E0,1.049580660E1
5.189204164E-2,3.260669403E0,5.095404053E0,8.446485443E0,1.038933221E1
6.193204166E-2,2.642904053E0,4.608167267E0,8.510701904E0,1.003255672E1
7.197304163E-2,2.222278748E0,3.660338287E0,8.388406219E0,9.418171697E0
8.201404166E-2,1.560504913E0,3.699107666E0,8.009843445E0,8.959696709E0
9.205504163E-2,9.422904968E-1,3.843407593E0,7.683522034E0,8.642696578E0
1.020960417E-1,2.309696960E-1,3.555855560E0,7.332801361E0,8.152756072E0
1.121370416E-1,-2.424957275E-1,3.166515198E0,6.924001465E0,7.617573036E0
1.221780417E-1,-6.840774536E-2,3.815415802E0,7.282505951E0,8.221737668E0
1.322180416E-1,1.198707275E0,4.309089203E0,9.484726410E0,1.048642856E1
1.422590417E-1,1.309177551E0,4.298311615E0,1.127245880E1,1.213498068E1
1.523000416E-1,8.312214661E-1,3.754043427E0,1.243149857E1,1.301252965E1
1.623410417E-1,2.311193848E-1,3.645070038E0,1.338097412E1,1.387048738E1
1.723820416E-1,-8.587641907E-1,3.099005585E0,1.272279282E1,1.312291007E1
1.824230417E-1,-9.774673462E-1,2.398312683E0,1.133802246E1,1.163005157E1
1.924630416E-1,-5.834866333E-1,2.449955292E0,1.040935364E1,1.070968630E1
2.025040417E-1,-8.833131409E-1,2.988086243E0,1.061427750E1,1.106217828E1
2.125450416E-1,-1.445094910E0,2.983296204E0,1.108983856E1,1.157466522E1
2.225860417E-1,-6.239025879E-1,2.137255554E0,1.055080948E1,1.078316727E1
2.326270416E-1,5.433700562E-2,1.500629425E0,9.037456512E0,9.161356963E0
2.426680417E-1,-2.133064270E-1,1.237776031E0,7.713160400E0,7.814757354E0
2.527080416E-1,-1.326840820E0,1.040935364E0,5.490881653E0,5.744025968E0
2.627490417E-1,-3.313359833E0,1.453178101E0,3.179837494E0,4.816787982E0
2.727900416E-1,-5.060077515E0,2.370021515E0,1.087787933E0,5.692509905E0
2.828310417E-1,-6.988367615E0,1.809287567E0,1.049168243E0,7.294625242E0
2.928720416E-1,-8.113577728E0,2.988535309E0,6.159990234E0,1.061635373E1
3.029130417E-1,-3.529660034E0,2.931803284E0,8.598269806E0,9.745984512E0
3.129540416E-1,-9.442364502E-1,1.924697571E0,1.022089554E1,1.044331120E1
3.229940417E-1,-1.265169067E0,2.454895020E0,1.123383911E1,1.156833192E1
3.330350416E-1,-2.098037109E0,2.451452179E0,1.177032349E1,1.220458490E1
3.430760417E-1,-1.807042236E0,1.786983948E0,1.157962006E1,1.185522306E1
3.531170416E-1,-9.135502625E-1,1.630110168E0,1.158396103E1,1.173371153E1
3.631580416E-1,5.239105225E-3,1.708247681E0,1.259750336E1,1.271279782E1
3.731990416E-1,7.809260559E-1,1.146615601E0,1.373334137E1,1.380323288E1
3.832390417E-1,1.445244598E0,7.041357422E-1,1.312859894E1,1.322666433E1
3.932800416E-1,6.008505249E-1,3.047362976E0,1.355072113E1,1.390213961E1
4.033210417E-1,1.640887756E0,6.074368286E0,1.139834702E1,1.301970727E1
4.133620416E-1,2.570604401E0,5.046455841E0,9.165889435E0,1.077442586E1
4.234030416E-1,1.086889801E0,3.847598877E0,8.813073120E0,9.677582569E0
4.334440416E-1,1.475930786E0,3.348386993E0,8.078251190E0,8.868382572E0
4.434850416E-1,2.367177429E0,4.386777649E0,7.544610901E0,9.042593697E0
4.535250416E-1,3.669768677E0,5.674250336E0,6.428082733E0,9.326551701E0
4.635660417E-1,3.723057861E0,4.785847778E0,4.857099609E0,7.768971323E0
4.736070416E-1,2.187401276E0,3.723357239E0,4.413272552E0,6.174551651E0
4.836480416E-1,6.532415771E-1,2.957549744E0,5.718408508E0,6.471013901E0
4.936890416E-1,8.890013123E-1,2.468516693E0,7.412435760E0,7.863084757E0
5.037300416E-1,2.136207733E0,2.546953583E0,8.784781952E0,9.392696630E0
5.137700416E-1,5.239254913E0,3.094365234E0,8.749904480E0,1.065766000E1
5.238110417E-1,8.919501801E0,4.736450500E0,7.846533051E0,1.278904049E1
5.338520416E-1,1.025397675E1,6.055507507E0,7.113208008E0,1.387122700E1
5.438930416E-1,8.285869446E0,5.350922699E0,7.932005310E0,1.265720010E1
5.539340416E-1,4.533173218E0,3.831282806E0,1.152558243E1,1.296408260E1
5.639750416E-1,2.455044708E0,2.669249268E0,1.489597366E1,1.533108501E1
5.740160416E-1,2.946173401E0,3.159180450E0,1.442475357E1,1.505768490E1
5.840560416E-1,2.998863831E0,4.884342957E0,1.072235275E1,1.215807711E1
5.940970416E-1,2.074535980E0,5.452711029E0,5.362149353E0,7.923913350E0
6.041380416E-1,5.739065552E-1,4.392914886E0,1.398392029E0,4.645704489E0
6.141790416E-1,1.710942078E-1,1.898801422E0,-1.548529816E0,2.456148338E0
6.242200416E-1,9.086105347E-1,1.739382935E0,-1.486408997E0,2.461795646E0
6.342610416E-1,1.820813599E0,1.972148895E0,2.953208771E0,3.990761264E0
6.443010416E-1,4.289779358E0,7.686515808E-1,7.639812927E0,8.795440509E0
6.543420416E-1,8.065078583E0,1.124311981E0,9.516161041E0,1.252465133E1
6.643830416E-1,1.296483948E1,2.406395874E0,9.164093170E0,1.605797021E1
6.744240416E-1,1.497156647E1,3.923640747E0,9.317673798E0,1.806548655E1
6.844650416E-1,1.365969452E1,3.304977264E0,1.072190369E1,1.767680253E1
6.945060416E-1,1.027134064E1,1.786834259E0,1.326616287E1,1.687258998E1
7.045470416E-1,7.735014954E0,5.462141418E-1,1.453776855E1,1.647651422E1
7.145870416E-1,6.932084656E0,5.709127808E-1,1.311991699E1,1.484964515E1
7.246280416E-1,5.133125610E0,9.738748169E-1,9.712103577E0,1.102825311E1
7.346690416E-1,1.159189453E0,7.089257812E-1,5.584437103E0,5.747367546E0
7.447100416E-1,-2.983445892E0,-2.739303589E-2,2.504591675E0,3.895469064E0
7.547510416E-1,-7.320526886E0,-3.207080841E0,8.684939575E-1,8.039263845E0
7.647920416E-1,-6.961124268E0,-4.173171844E0,-7.599696350E-1,8.151697256E0
