"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.538387500E-2,-5.401214893E-1,-3.183873242E-1,-5.244993371E-1,8.174357871E-1
2.542587498E-2,-4.816809078E-1,-2.754909807E-1,-4.118176442E-1,6.910177635E-1
3.546687495E-2,-2.950991799E-1,-3.164390320E-1,-1.968815982E-1,4.753730647E-1
4.550787498E-2,-5.589411914E-2,-2.299458486E-1,3.559738111E-1,4.274536233E-1
5.554987496E-2,2.067658778E-1,-4.561120570E-2,9.077755523E-1,9.321421370E-1
6.559087499E-2,3.367205380E-1,7.931397200E-2,1.252110481E0,1.299019662E0
7.563187496E-2,1.610795353E-1,7.620208383E-2,1.368619176E0,1.380170940E0
8.567387500E-2,-2.733086537E-1,8.820524812E-3,1.241980180E0,1.271727246E0
9.571487497E-2,-2.617048542E-1,-1.543758488E-1,1.193434841E0,1.231506416E0
1.057558749E-1,-2.027054250E-1,-1.766876543E-1,1.248945968E0,1.277565672E0
1.157978750E-1,-3.378943665E-1,-9.478336573E-2,6.135161787E-1,7.067945889E-1
1.258388750E-1,-3.366692287E-1,-6.582503021E-2,6.563090265E-2,3.492656861E-1
1.358798750E-1,-5.346384090E-1,-1.387076497E-1,-3.167711538E-1,6.367275747E-1
1.459218750E-1,-5.454233059E-1,6.038945854E-2,-4.616189647E-1,7.170952084E-1
1.559628750E-1,-8.591364390E-1,1.227225316E-1,-6.914449453E-2,8.706073752E-1
1.660038750E-1,-9.770383798E-1,-6.373991311E-2,2.899605006E-1,1.021148307E0
1.760458749E-1,-8.561153289E-1,-4.848335803E-2,3.950168395E-1,9.440987215E-1
1.860868750E-1,-6.904679487E-1,1.219074297E-1,3.292923814E-1,7.746230580E-1
1.961278750E-1,-5.179413924E-1,2.615903950E-1,3.553458202E-1,6.804141919E-1
2.061698750E-1,-3.228606269E-1,2.416759479E-1,1.581513959E-1,4.331952357E-1
2.162108750E-1,1.695456823E-2,-2.195132464E-1,-6.780507284E-1,7.128999320E-1
2.262518750E-1,2.856373617E-1,-8.689675820E-1,-1.955983683E0,2.159297462E0
2.362938750E-1,-6.038531798E-1,-9.811657101E-1,-2.264426647E0,2.540659925E0
2.463348750E-1,-1.628055165E0,-1.047681296E0,-9.269661140E-1,2.146500849E0
2.563758750E-1,-1.122773725E0,-4.445246297E-1,-1.096067006E0,1.630823677E0
2.664178750E-1,-1.630772219E0,-1.854122847E-1,1.144742153E0,2.001057306E0
2.764588750E-1,-1.687780379E0,-6.683899587E-1,1.202987437E0,2.177734263E0
2.865008750E-1,-1.256510510E0,-1.533832254E0,6.011270982E-1,2.071910673E0
2.965418750E-1,-2.706208348E-2,-2.308930390E0,-6.127344060E-1,2.389003005E0
3.065828750E-1,8.029455006E-1,-2.539290807E0,-1.415175292E0,3.015864782E0
3.166248749E-1,1.266112662E0,-1.450724609E0,-9.702811182E-1,2.156174532E0
3.266658750E-1,1.481477747E0,5.387536794E-1,-3.436391097E-1,1.613418631E0
3.367068750E-1,1.817963373E0,1.875462846E0,-3.544073421E-1,2.635897622E0
3.467489583E-1,2.142986410E0,2.213151829E0,-4.368565911E-1,3.111474803E0
3.567899583E-1,1.421436052E0,2.065754632E0,2.844810748E-1,2.523638669E0
3.668309583E-1,1.231407829E0,1.883562993E0,1.281609099E0,2.589729073E0
3.768729583E-1,2.019914069E0,8.406220347E-1,1.597067553E0,2.708749346E0
3.869139583E-1,2.589213164E0,4.387750626E-1,2.153780370E0,3.396368391E0
3.969549583E-1,2.912155470E0,1.656650680E-1,1.811915306E0,3.433821700E0
4.069969583E-1,2.558148662E0,4.130940914E-2,1.164122749E0,2.810874031E0
4.170379583E-1,1.517478615E0,4.443474591E-1,5.523005086E-1,1.674879657E0
4.270789583E-1,-3.875943840E-1,1.369015033E0,5.654187369E-1,1.531055164E0
4.371209583E-1,-1.438802136E0,1.840398847E0,8.601727849E-1,2.489400877E0
4.471619583E-1,-1.297948997E0,1.816146936E0,1.640379049E0,2.770181350E0
4.572029583E-1,-2.046164413E-1,1.415129099E0,2.969796737E0,3.296081145E0
4.672449583E-1,3.195300163E-1,1.265483063E0,4.977414258E0,5.145697184E0
4.772859583E-1,1.201111797E0,2.192924556E0,7.110839885E0,7.537614446E0
4.873269583E-1,2.880151320E0,3.814752728E0,8.825249362E0,1.003656497E1
4.973689583E-1,4.588600437E0,5.885177531E0,9.708256693E0,1.224503232E1
5.074099583E-1,6.039856265E0,8.932458061E0,1.027269251E1,1.489284668E1
5.174519583E-1,7.405176442E0,1.161062082E1,1.082656183E1,1.751735126E1
5.274929583E-1,8.965723456E0,1.302486465E1,1.244260243E1,2.012087601E1
5.375339583E-1,1.102530635E1,1.303081712E1,1.480710768E1,2.259668146E1
5.475759583E-1,1.297325947E1,1.208815942E1,1.563914659E1,2.364343387E1
5.576169583E-1,1.476477033E1,1.135255864E1,1.433016784E1,2.349963278E1
5.676579583E-1,1.519726665E1,1.026414739E1,1.138791675E1,2.158690074E1
5.776999583E-1,1.486728255E1,8.445953931E0,8.221854129E0,1.897285201E1
5.877409583E-1,1.482683735E1,5.971246791E0,6.196582695E0,1.714317740E1
5.977819583E-1,1.569918814E1,2.744320500E0,4.502231507E0,1.656097496E1
6.078239583E-1,1.455475004E1,-4.835068470E-1,4.123373448E0,1.513528117E1
6.178649583E-1,1.306701372E1,-3.947136614E0,3.848960109E0,1.418242677E1
6.279059583E-1,1.265777763E1,-8.405910444E0,3.344543034E0,1.555842643E1
6.379479583E-1,1.099987213E1,-1.219955940E1,3.843039218E0,1.686995516E1
6.479889583E-1,1.012994210E1,-1.563280236E1,4.611228869E0,1.919019719E1
6.580299583E-1,9.874583666E0,-1.979827459E1,5.004921899E0,2.268321676E1
6.680719583E-1,8.311838100E0,-2.507008680E1,5.174246739E0,2.691409917E1
6.781129583E-1,3.880274872E0,-3.106534460E1,6.089413172E0,3.189346517E1
6.881549583E-1,-3.557886883E0,-3.799058333E1,8.983871459E0,3.920016489E1
6.981959583E-1,-1.379358055E1,-4.459495026E1,1.449610247E1,4.887851716E1
7.082369583E-1,-2.475916228E1,-4.909641754E1,2.108152325E1,5.888892047E1
7.182789583E-1,-3.039073495E1,-5.054181182E1,2.455112536E1,6.388136872E1
7.283199583E-1,-2.862237322E1,-4.991226316E1,2.371679551E1,6.223311540E1
7.383609583E-1,-2.160571444E1,-4.853066434E1,2.018224487E1,5.682741667E1
7.484029583E-1,-1.240281914E1,-4.628419683E1,1.479181838E1,5.014832689E1
7.584439583E-1,-3.815665770E0,-4.256837080E1,7.905821478E0,4.346409451E1
7.684849583E-1,4.662757457E0,-3.783751726E1,1.825874949E0,3.816743165E1
7.785269583E-1,1.230376263E1,-3.118513299E1,-2.735902848E0,3.363599648E1
7.885679583E-1,1.800321797E1,-2.269326380E1,-4.829589629E0,2.936707366E1
7.986089583E-1,2.255149221E1,-1.296083063E1,-3.484642321E0,2.624301171E1
8.086509583E-1,2.698070194E1,-1.857142349E0,-9.800978623E-2,2.704471964E1
8.186919583E-1,2.984418635E1,1.070344520E1,2.994994143E0,3.184665113E1
8.287329583E-1,3.411994409E1,2.299344114E1,6.176909153E0,4.160556605E1
8.387749583E-1,3.939343562E1,3.469694499E1,1.005590816E1,5.344943452E1
8.488159583E-1,4.211589455E1,4.436374668E1,1.297748934E1,6.253243816E1
8.588579583E-1,4.269085360E1,5.017238942E1,1.376656291E1,6.730004380E1
8.688989583E-1,3.868134766E1,5.134080812E1,1.155365257E1,6.531165380E1
8.789399583E-1,3.057759793E1,4.763885636E1,7.889023597E0,5.715493701E1
8.889819583E-1,2.452059588E1,4.213159783E1,4.744150114E0,4.897793501E1
8.990229583E-1,2.265977095E1,3.623699166E1,3.430138085E0,4.287599132E1
9.090639583E-1,2.198729671E1,2.927439857E1,4.091113189E0,3.683977247E1
9.191059583E-1,2.064038591E1,2.148784860E1,5.796265354E0,3.035374540E1
9.291469583E-1,1.952951902E1,1.396021334E1,7.070271903E0,2.502555522E1
9.391879583E-1,1.821891357E1,6.739015442E0,7.884915344E0,2.096461378E1
9.492299583E-1,1.645261357E1,8.658089161E-2,8.389843465E0,1.846849920E1
9.592709583E-1,1.506511958E1,-5.445431246E0,9.062286129E0,1.840477056E1
9.693119583E-1,1.484056194E1,-1.017761562E1,1.034312223E1,2.075587425E1
9.793539583E-1,1.543014956E1,-1.441674289E1,1.080557968E1,2.372114127E1
9.893949583E-1,1.589372149E1,-1.835546243E1,1.047836949E1,2.644484092E1
9.994359583E-1,1.547096195E1,-2.261086952E1,1.022418752E1,2.924271011E1
1.009477958E0,1.324319033E1,-2.684152885E1,1.036487036E1,3.167460021E1
1.019518958E0,1.030701801E1,-3.117083071E1,1.081915926E1,3.456746323E1
1.029559958E0,6.890736070E0,-3.624751197E1,1.156845421E1,3.866773204E1
1.039601958E0,2.125910202E0,-4.168120786E1,1.280538357E1,4.365570330E1
1.049642958E0,-3.481468452E0,-4.654800917E1,1.435053603E1,4.883416493E1
1.059684958E0,-9.079433089E0,-5.027949637E1,1.573396153E1,5.346046582E1
1.069725958E0,-1.381160752E1,-5.276679900E1,1.672767712E1,5.705182522E1
1.079766958E0,-1.571350914E1,-5.347781107E1,1.700045674E1,5.827354610E1
1.089808958E0,-1.250645987E1,-5.265294202E1,1.540797925E1,5.626854953E1
1.099849958E0,-5.793789643E0,-5.081554572E1,1.218485716E1,5.257621543E1
1.109890958E0,2.716728659E0,-4.809886384E1,8.149507699E0,4.885996104E1
1.119932958E0,1.154521972E1,-4.421468946E1,3.802166596E0,4.585506878E1
1.129973958E0,2.018855986E1,-3.892802532E1,-5.577811038E-1,4.385521889E1
1.140014958E0,2.734817371E1,-3.193538690E1,-2.273574909E0,4.210653969E1
1.150056958E0,3.201899039E1,-2.219849346E1,-9.364236930E-1,3.897262817E1
1.160097958E0,3.639528749E1,-9.419310685E0,9.701504329E-1,3.760693496E1
1.170139958E0,4.168868294E1,6.784944736E0,5.472299201E0,4.259023149E1
1.180180958E0,4.486667271E1,2.310552291E1,1.342718350E1,5.222233972E1
1.190221958E0,4.145253963E1,3.578822488E1,2.233741161E1,5.914448443E1
1.200263958E0,3.225402273E1,4.526173867E1,2.917539352E1,6.277061858E1
1.210304958E0,2.578592399E1,5.248444865E1,3.241144614E1,6.685830590E1
1.220345958E0,2.141884912E1,5.524010573E1,3.112833314E1,6.692689671E1
1.230387958E0,1.831010324E1,5.452942111E1,2.724574920E1,6.364784754E1
1.240428958E0,1.767598323E1,5.138117729E1,2.571138134E1,6.011273487E1
1.250469958E0,1.630789264E1,4.630109762E1,2.234717179E1,5.393639857E1
1.260511958E0,1.355363070E1,3.850568327E1,1.765531449E1,4.447582129E1
1.270552958E0,1.041319877E1,3.093639478E1,1.187719422E1,3.473561534E1
1.280593958E0,1.028082365E1,2.404611538E1,6.925636346E0,2.705319646E1
1.290635958E0,1.207387116E1,1.791998520E1,4.342403129E0,2.203997957E1
1.300676958E0,1.429744214E1,1.176300745E1,2.442227612E0,1.867484061E1
1.310717958E0,1.554646120E1,5.985393544E0,1.673185144E0,1.674266826E1
1.320759958E0,1.641441488E1,8.852286887E-1,1.913979917E0,1.654931916E1
1.330800958E0,1.613216861E1,-3.857740288E0,1.824615166E0,1.668706819E1
1.340846208E0,1.530235515E1,-7.836727855E0,3.614677380E0,1.756821759E1
1.350887208E0,1.491304987E1,-1.132325473E1,4.892245468E0,1.935327414E1
1.360928208E0,1.438915338E1,-1.451518193E1,4.500131772E0,2.092819695E1
1.370970208E0,1.407957372E1,-1.704488506E1,4.063865457E0,2.247837862E1
1.381011208E0,1.364179970E1,-1.912170613E1,3.612337325E0,2.376525458E1
1.391052208E0,1.319157111E1,-2.135503962E1,3.089480470E0,2.529031742E1
1.401094208E0,1.301461332E1,-2.462726546E1,3.314131665E0,2.805112890E1
1.411135208E0,1.159116246E1,-2.922534044E1,3.681542630E0,3.165484681E1
1.421176208E0,7.129145764E0,-3.428907831E1,2.880325859E0,3.514060170E1
