"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.054125017E-3,1.355050858E0,-4.709125292E-1,1.885586715E-1,1.446884865E0
1.709512499E-2,1.434101706E0,-3.752175826E-1,-1.544495237E-1,1.490399474E0
2.713612502E-2,1.397094824E0,-4.396433741E-1,-2.720393693E-1,1.489686431E0
3.717712499E-2,1.379788381E0,-5.971106458E-1,-1.394742197E-1,1.509904023E0
4.721912497E-2,1.376207108E0,-5.915768409E-1,2.364087760E-1,1.516508580E0
5.726012500E-2,1.166988031E0,-6.188821685E-1,8.104971796E-1,1.549768331E0
6.730112497E-2,9.927266787E-1,-7.099332565E-1,9.372841108E-1,1.538834946E0
7.734212501E-2,7.042727132E-1,-8.606364691E-1,7.941676605E-1,1.366527519E0
8.738312498E-2,3.914634866E-1,-1.177359091E0,7.166762656E-1,1.432844360E0
9.742512502E-2,3.919043666E-1,-1.657589158E0,4.390487123E-1,1.758964076E0
1.074661250E-1,1.420576657E-1,-1.178012810E0,5.041147739E-1,1.289195976E0
1.175071250E-1,4.648298170E-1,-5.242134082E-1,5.894806141E-1,9.156166504E-1
1.275481250E-1,8.180579218E-1,-3.481069672E-1,4.292172039E-1,9.872307897E-1
1.375891250E-1,8.377572645E-1,-5.959102124E-1,1.318161213E-1,1.036494913E0
1.476311250E-1,7.797551510E-1,-8.656639051E-1,1.579566836E-2,1.165178783E0
1.576721250E-1,1.219808488E0,-1.081179995E0,3.996478343E-1,1.678273315E0
1.677131250E-1,1.401693367E0,-9.853727818E-1,6.646454018E-1,1.837785984E0
1.777541250E-1,1.029338508E0,-6.484731728E-1,9.025650984E-1,1.514819783E0
1.877951250E-1,8.392322246E-1,-4.617657298E-1,8.949292195E-1,1.310891538E0
1.978371250E-1,8.326139074E-1,-3.869131833E-1,5.265066862E-1,1.058374707E0
2.078781250E-1,9.963330951E-1,-3.196444756E-1,2.067031664E-1,1.066573217E0
2.179191250E-1,1.084764557E0,-4.732432294E-1,8.428410530E-2,1.186497834E0
2.279601250E-1,9.563999013E-1,-7.948073459E-1,5.692322910E-2,1.244853301E0
2.380011250E-1,7.617375407E-1,-9.206616461E-1,1.960512936E-1,1.210907947E0
2.480431250E-1,5.554012871E-1,-9.617886221E-1,2.991681111E-1,1.150221501E0
2.580841250E-1,3.994795076E-1,-1.073941727E0,4.990013838E-1,1.249774816E0
2.681251250E-1,2.911248274E-1,-1.106137666E0,8.210958427E-1,1.408010150E0
2.781661250E-1,1.290402288E-1,-1.092336482E0,1.022049442E0,1.501477750E0
2.882071250E-1,-3.424933478E-3,-9.789659876E-1,1.056613503E0,1.440422934E0
2.982491250E-1,2.512984914E-1,-7.988658983E-1,1.083814166E0,1.369668135E0
3.082901250E-1,5.041050529E-1,-5.163559198E-1,1.101633555E0,1.316944126E0
3.183311250E-1,5.937326362E-1,-4.487088972E-1,1.035897403E0,1.275516188E0
3.283721250E-1,7.303835278E-1,-2.267731494E-1,1.037783715E0,1.289139712E0
3.384131250E-1,7.383133755E-1,-2.662599814E-1,1.205976534E0,1.438881655E0
3.484551250E-1,5.810282446E-1,-4.446380657E-1,1.142740651E0,1.356890941E0
3.584961250E-1,5.884520888E-1,-5.968574613E-1,9.007518768E-1,1.230393690E0
3.685371250E-1,9.288321798E-1,-7.352224642E-1,6.602254915E-1,1.356163334E0
3.785781250E-1,1.175180711E0,-6.801680052E-1,3.424310750E-1,1.400334696E0
3.886191250E-1,1.247617773E0,-4.020697510E-1,1.118484646E-1,1.315568421E0
3.986611250E-1,1.349648177E0,-1.235364640E-1,5.052520573E-2,1.356231638E0
4.087021250E-1,1.328268126E0,8.242352128E-2,-2.601601660E-2,1.331077264E0
4.187431250E-1,1.034771375E0,5.294712245E-2,4.465167761E-2,1.037086770E0
4.287841250E-1,6.682755726E-1,-2.630346572E-1,-9.029621243E-2,7.238320785E-1
4.388261250E-1,4.986016535E-1,-6.077841532E-1,-5.398892087E-1,9.536695148E-1
4.488671250E-1,1.061103507E0,-3.635021013E-1,-1.306814107E0,1.722160718E0
4.589081250E-1,6.132640906E-1,-5.985437983E-1,-4.695138752E-1,9.771339736E-1
4.689491250E-1,6.752711814E-1,-8.861899710E-1,-1.007001632E0,1.501790971E0
4.789901250E-1,1.295447412E0,-9.575774574E-1,-9.160943860E-1,1.853204659E0
4.890321250E-1,1.248724504E0,-8.784792477E-1,8.651540279E-2,1.529223199E0
4.990731250E-1,4.849106173E-1,-3.277592415E-1,1.462996745E-1,6.032976230E-1
5.091141250E-1,2.374976738E-1,-2.739204186E-1,5.290356070E-1,6.413393908E-1
5.191551250E-1,2.717014003E-1,-3.531776726E-1,4.008336496E-1,5.993527626E-1
5.291961250E-1,5.079414842E-1,-1.089654949E0,-3.865009546E-2,1.202849238E0
5.392381250E-1,1.208266304E0,-1.418502942E0,3.186907947E-1,1.890402571E0
5.492791250E-1,1.201925291E0,-1.294122725E0,1.246380209E0,2.161675660E0
5.593201250E-1,9.771632910E-1,-1.551600773E0,2.463022649E0,3.070634076E0
5.693611250E-1,1.512785494E0,-2.439877616E0,3.115139222E0,4.236226517E0
5.794051667E-1,1.648265188E0,-3.014044957E0,3.986079070E0,5.262135639E0
5.894471667E-1,1.393514282E-1,-2.737527789E0,5.335220586E0,5.998171048E0
5.994881667E-1,8.622272041E-1,-3.861698853E0,5.261545084E0,6.583313030E0
6.095291667E-1,2.792732522E-1,-4.228212270E0,4.503606187E0,6.183707726E0
6.195701667E-1,-6.518856078E-2,-3.078788252E0,3.130574702E0,4.391319234E0
6.296111667E-1,9.787253746E-1,-2.195290339E0,3.372700886E0,4.141535258E0
6.396531666E-1,2.123309945E0,-2.391422909E0,4.131358405E0,5.224506764E0
6.496941667E-1,2.108351305E0,-2.655097252E0,3.747289892E0,5.053401644E0
6.597351666E-1,1.446384513E0,-3.522986022E0,2.846727758E0,4.754715302E0
6.697761667E-1,1.188782796E0,-4.074830448E0,2.834574028E0,5.104141224E0
