"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.168541668E-3,3.529809723E0,8.544980621E0,5.664520569E0,1.084264930E1
8.872458362E-3,2.213896179E0,6.840325470E0,5.249733124E0,8.902307942E0
1.891345833E-2,-1.190624084E0,1.151405640E0,4.616699524E0,4.904817545E0
2.895445836E-2,4.849914551E-2,2.921175385E0,6.688241730E0,7.298506370E0
3.899545834E-2,4.867727509E0,8.244854736E0,8.150101776E0,1.257364544E1
4.903545836E-2,4.982389069E0,8.615783386E0,7.557783508E0,1.249704028E1
5.907645833E-2,2.299967194E0,8.696166229E0,8.650810547E0,1.247997113E1
6.911745836E-2,3.405119019E0,8.834777985E0,8.866362305E0,1.297152721E1
7.915845833E-2,4.892875214E0,6.851103058E0,7.664511566E0,1.138519119E1
8.919945837E-2,5.670208740E0,5.415887604E0,5.749244385E0,9.723009652E0
9.924045834E-2,2.812800751E0,7.330406342E0,5.827381897E0,9.777785279E0
1.092814584E-1,1.549577637E0,8.812773743E0,6.422693939E0,1.101440735E1
1.193214583E-1,1.533710632E0,8.915310516E0,6.777306519E0,1.130340274E1
1.293624584E-1,1.690883789E0,8.417146454E0,7.001240845E0,1.107812330E1
1.394034583E-1,2.373763733E0,7.845784607E0,6.855593719E0,1.068598407E1
1.494444584E-1,3.031795349E0,7.163802795E0,6.044131165E0,9.851059591E0
1.594854583E-1,3.125201111E0,6.315965881E0,4.134552155E0,8.170240420E0
1.695264584E-1,3.131937103E0,6.222560120E0,8.327183533E-1,7.015889417E0
1.795664583E-1,3.424279175E0,7.161108398E0,1.300196228E0,8.043486283E0
1.896074584E-1,3.610192566E0,9.914183350E0,2.579136658E-1,1.055419544E1
1.996484583E-1,1.662293243E0,1.082144669E1,1.313967590E0,1.102694146E1
2.096894584E-1,-2.557282104E0,7.868686981E0,2.652035065E0,8.688453059E0
2.197304583E-1,-6.585106201E0,4.831802216E0,5.032534790E0,9.593557356E0
2.297714584E-1,-7.337441711E0,3.170556793E0,8.456364899E0,1.163617586E1
2.398114583E-1,-5.551804962E0,-2.622546387E-1,1.203332657E1,1.325489586E1
2.498524584E-1,-1.226250000E0,1.929337921E0,1.496318390E1,1.513680634E1
2.598934583E-1,2.612367554E0,5.632936249E0,1.637849075E1,1.751597540E1
2.699344584E-1,4.454436951E0,4.958738251E0,1.596026047E1,1.729627150E1
2.799754583E-1,5.473517761E0,3.728446655E0,1.524310181E1,1.661965294E1
2.900164584E-1,5.912854156E0,4.088148651E0,1.461635513E1,1.628842046E1
3.000574583E-1,5.353168030E0,4.864733734E0,1.326421692E1,1.510832528E1
3.100974584E-1,4.619543610E0,5.115312653E0,1.197090637E1,1.381337055E1
3.201384583E-1,4.921016693E0,5.574707336E0,1.079120956E1,1.310511240E1
3.301794584E-1,4.724774780E0,6.272855530E0,6.907835083E0,1.045898651E1
3.402204583E-1,5.006938019E0,6.316414948E0,8.303233337E-1,8.102836723E0
3.502614584E-1,4.252656555E0,5.961502991E0,-7.551346893E0,1.051890895E1
3.603024583E-1,3.871848450E0,6.847510529E0,-1.230082031E1,1.460102021E1
3.703424584E-1,2.251468048E0,6.033503265E0,-1.219064941E1,1.378710278E1
3.803834583E-1,9.686357117E-1,5.176235962E0,-8.326884155E0,9.852343559E0
3.904244584E-1,1.999392242E0,5.508095856E0,-4.099225616E0,7.151247440E0
4.004654583E-1,4.300856323E0,5.635031891E0,-1.131347351E0,7.178502375E0
4.105064584E-1,5.346731415E0,4.416266327E0,5.348976746E0,8.757996193E0
4.205474583E-1,3.325933685E0,3.293451233E0,1.778062500E1,1.838638848E1
4.305874584E-1,4.433480530E0,3.368295593E0,2.376772476E1,2.441118402E1
4.406284583E-1,4.846172333E0,3.969445496E0,2.944571732E1,3.010468655E1
4.506694584E-1,5.352569275E0,4.086502075E0,2.773073364E1,2.853669717E1
4.607104583E-1,4.790787506E0,4.488116913E0,2.131342850E1,2.230150382E1
4.707514584E-1,1.609602814E0,3.872746582E0,1.102801712E1,1.179856554E1
4.807924583E-1,-5.136119385E0,2.171085205E0,-5.611081696E0,7.910598656E0
4.908324584E-1,-8.806636505E0,2.930905151E0,-2.044897614E1,2.245679578E1
5.008734583E-1,-7.777975616E0,3.369942169E0,-2.477737518E1,2.618724376E1
5.109144584E-1,-4.806055756E0,3.008593597E0,-1.891017609E1,1.974194942E1
5.209554583E-1,-1.610650635E-1,3.761827240E0,-9.580676880E0,1.029401067E1
5.309964584E-1,3.593577118E0,3.768114166E0,-1.886976013E0,5.538335431E0
5.410374583E-1,5.298681335E0,3.121608582E0,6.300997009E0,8.804716199E0
5.510784584E-1,6.334976349E0,2.586321716E0,1.599573669E1,1.739783256E1
5.611184583E-1,5.279371490E0,8.349636841E-1,2.505025772E1,2.561414335E1
5.711594584E-1,2.596500549E0,8.837622070E-1,3.044069824E1,3.056401414E1
5.812007083E-1,1.636546783E0,2.382146301E0,3.189642105E1,3.202709138E1
5.912417084E-1,2.010918274E0,2.668201447E0,2.896761154E1,2.915965723E1
6.012827083E-1,1.683249664E0,2.725981293E0,2.257216095E1,2.279839366E1
6.113237084E-1,-1.558558960E0,2.232008514E0,1.185085602E1,1.215951300E1
6.213637083E-1,-7.693551178E0,2.644700317E0,-3.924688568E0,9.032626963E0
6.314047084E-1,-1.084824097E1,4.711302795E0,-1.626293106E1,2.010879491E1
6.414457083E-1,-1.051174072E1,3.944148102E0,-1.854972565E1,2.168283466E1
6.514867084E-1,-9.222621460E0,1.488654327E0,-1.233060837E1,1.546986558E1
6.615277083E-1,-7.690707092E0,1.121168518E-1,-3.365601196E0,8.395642750E0
6.715687084E-1,-4.202660522E0,5.282514954E-1,5.059927826E0,6.598808583E0
6.816087083E-1,4.432283020E-1,1.700014801E0,1.450827988E1,1.461426312E1
6.916497084E-1,4.890779572E0,1.952090607E0,2.702375381E1,2.753204774E1
7.016907083E-1,4.996908875E0,-2.622546387E-1,3.665307953E1,3.699305495E1
7.117317084E-1,-1.941612396E0,-1.607507172E0,3.961392242E1,3.969403970E1
7.217727083E-1,-7.943082275E0,-1.685794373E0,3.795806580E1,3.881686770E1
7.318137084E-1,-9.171876984E0,-2.291584625E0,3.325095428E1,3.456878141E1
7.418547084E-1,-9.087452545E0,-1.266965332E0,2.680505859E1,2.833192830E1
7.518947084E-1,-1.044333298E1,-2.213896179E-1,1.775787231E1,2.060228740E1
7.619357083E-1,-1.150477570E1,4.478686523E-1,1.854044495E0,1.166181509E1
7.719767084E-1,-1.059601547E1,2.892734528E0,-1.099284027E1,1.553981963E1
7.820177083E-1,-1.307815384E1,3.308420105E0,-1.231354385E1,1.826491483E1
7.920587084E-1,-1.389216110E1,1.748513947E0,-6.603368225E0,1.548075945E1
8.020997084E-1,-1.062789917E1,1.997296600E0,7.611671448E-1,1.084070154E1
8.121397084E-1,-5.944588165E0,3.760180664E0,8.592731323E0,1.110459899E1
8.221807083E-1,2.260299683E-1,6.131549377E0,1.677800995E1,1.786473076E1
8.322217084E-1,7.299271088E0,7.905360718E0,2.564197723E1,2.780800394E1
8.422627083E-1,7.836952972E0,6.063291321E0,2.908841034E1,3.072974047E1
8.523037084E-1,-8.273295593E-1,3.649411011E0,2.806738358E1,2.831573230E1
8.623447084E-1,-8.481063538E0,2.142494659E0,2.778132843E1,2.912594945E1
8.723847084E-1,-8.340505829E0,7.590715027E-1,2.678784439E1,2.806650734E1
8.824257083E-1,-3.678899689E0,6.680607605E-1,2.409404617E1,2.438244592E1
8.924667084E-1,-7.782316589E-1,-7.458988953E-1,1.808733719E1,1.811943090E1
9.025077083E-1,-1.902094574E0,-3.865112457E0,3.718716888E0,5.690862270E0
9.125487084E-1,-2.243085480E0,-1.484912109E0,-1.438927734E1,1.463856888E1
9.225897084E-1,-1.433269501E0,4.142186279E0,-2.260479309E1,2.302582549E1
9.326307084E-1,-1.916913757E0,4.788093109E0,-1.888398056E1,1.957562555E1
9.426707083E-1,3.115022278E-1,6.314019928E0,-1.006656647E1,1.188695258E1
9.527117084E-1,2.749183044E0,8.896449738E0,-3.594924316E0,9.981398008E0
9.627527084E-1,5.520220642E0,1.013721954E1,1.599873047E0,1.165313905E1
9.727937084E-1,7.402556305E0,9.565258942E0,7.332501984E0,1.414417208E1
9.828347084E-1,3.129991150E0,6.162085876E0,1.819167023E1,1.946034462E1
9.928757084E-1,-3.791764984E0,3.285817108E0,2.155397827E1,2.213025203E1
