"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.466000002E-3,9.377741075E-1,-9.085929930E-2,-1.048863603E0,1.409890261E0
1.550699997E-2,1.091437181E0,-1.130845660E-1,-8.021602196E-1,1.359221930E0
2.554800001E-2,1.091928054E0,-5.425748348E-2,-3.606591851E-1,1.151227952E0
3.558899998E-2,9.352147812E-1,9.880040288E-3,2.034831047E-3,9.352691819E-1
4.563099996E-2,8.188370633E-1,1.180880284E-1,2.883057386E-1,8.761045129E-1
5.567199999E-2,1.119695897E0,5.567660272E-1,2.382331073E-1,1.272973811E0
6.571299996E-2,1.183233642E0,3.212670779E-1,2.696232998E-1,1.255368915E0
7.575399999E-2,1.021070033E0,-5.664782524E-3,5.327222764E-2,1.022474466E0
8.579499996E-2,1.209954102E0,-1.699387980E-1,1.251064414E-1,1.228218118E0
9.583700000E-2,1.029621879E0,-2.332302296E-1,4.434797323E-1,1.145072847E0
1.058780000E-1,3.080716664E-1,-3.143954301E-1,-8.066584826E-2,4.475037622E-1
1.159190000E-1,-1.075376049E-2,-4.176011252E-1,-1.980598122E-1,4.623137813E-1
1.259600000E-1,-5.585128829E-2,-3.495611697E-1,7.203769684E-4,3.539956168E-1
1.360020000E-1,-1.199503666E-1,-1.128752357E-1,5.671892738E-1,5.906205056E-1
1.460430000E-1,-2.288800474E-1,-1.773758715E-1,9.240717423E-1,9.683784698E-1
1.560840000E-1,-2.474874955E-1,-3.779815614E-1,1.004322438E0,1.101264583E0
1.661250000E-1,-2.688935673E-1,-5.103864974E-1,9.080456936E-1,1.075799753E0
1.761660000E-1,-3.306889889E-1,-4.661119652E-1,5.993629932E-1,8.281615598E-1
1.862080000E-1,-3.853556313E-1,-3.519702226E-1,2.356065381E-1,5.726189317E-1
1.962490000E-1,-3.692760806E-1,-2.219474423E-1,-7.096824110E-2,4.366485796E-1
2.062900000E-1,-2.842940370E-1,1.591027379E-3,-2.930051458E-1,4.082617375E-1
2.163310000E-1,-4.519444540E-2,2.330442882E-1,-3.594704461E-1,4.307797346E-1
2.263730000E-1,3.985349630E-1,3.909740746E-1,-3.124734503E-1,6.397894192E-1
2.364140000E-1,7.195851092E-1,6.288388073E-1,-7.695988297E-2,9.587303055E-1
2.464550000E-1,8.033909123E-1,9.832122356E-1,5.352740014E-1,1.377919270E0
2.564960000E-1,7.874283059E-1,1.388172850E0,1.144267944E0,1.963776037E0
2.665370000E-1,8.824431483E-1,1.579755701E0,1.618497598E0,2.427729075E0
2.765790000E-1,1.921996961E-1,1.217934090E0,2.058450290E0,2.399483646E0
