"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.181230833E-1,-1.120032989E1,-1.240624795E1,-2.914963887E0,1.696641955E1
7.281640833E-1,-5.636891305E0,-9.785415967E0,5.409359187E0,1.252158441E1
7.382050833E-1,1.401629924E0,-7.719663089E0,1.067493885E1,1.324809738E1
7.482470833E-1,6.414187410E0,-5.622163339E0,1.940389860E1,2.119579679E1
7.582880833E-1,7.169067628E0,-4.246934470E0,3.090476836E1,3.200838469E1
7.683290833E-1,4.408200093E0,-5.738999478E0,4.052822113E1,4.116922456E1
7.783700833E-1,-2.178277280E0,-9.463665909E0,4.160108229E1,4.271950271E1
7.884110833E-1,-6.935785943E0,-1.287256340E1,3.626284337E1,3.909989545E1
7.984530833E-1,-9.578054988E0,-1.495784656E1,3.057447318E1,3.535922399E1
8.084940833E-1,-1.102269498E1,-1.724666311E1,2.249614247E1,3.041420095E1
8.185350833E-1,-1.232406066E1,-1.813432541E1,8.217917783E0,2.341517461E1
8.285760833E-1,-1.454923144E1,-1.589167497E1,-7.695387788E0,2.287890867E1
8.386180833E-1,-1.620247553E1,-9.450358230E0,-2.045455672E1,2.775280841E1
8.486590833E-1,-2.038147822E1,-5.010142878E0,-3.083309085E1,3.729860155E1
8.587000833E-1,-2.329324192E1,-7.969882404E0,-3.687041118E1,4.433420085E1
8.687410833E-1,-2.506811746E1,-1.057165012E1,-3.195190411E1,4.196539617E1
8.787830833E-1,-2.172072917E1,-1.196337282E1,-2.150699940E1,3.282473744E1
8.888240833E-1,-1.767175218E1,-1.429640368E1,-1.345314397E1,2.641335015E1
8.988650833E-1,-1.192516010E1,-1.495661748E1,-8.777940710E0,2.104666465E1
9.089060833E-1,-9.473568753E0,-1.507809338E1,-2.642118772E0,1.800217199E1
9.189480833E-1,-1.020183946E1,-1.381781960E1,3.901691469E0,1.761342849E1
9.289890833E-1,-6.062974402E0,-1.126731208E1,1.428081851E1,1.917429940E1
9.390300833E-1,4.254097894E-1,-8.337606779E0,3.351567645E1,3.453979195E1
9.490710833E-1,6.331534678E0,-7.456784552E0,5.210785054E1,5.301811064E1
9.591130833E-1,4.313330188E0,-1.020696045E1,5.428010051E1,5.539960443E1
9.691540833E-1,-3.485029114E0,-1.579977545E1,4.201450850E1,4.502218628E1
9.791950833E-1,-1.119349449E1,-2.033548870E1,3.159581102E1,3.920614357E1
9.892360833E-1,-1.666025287E1,-2.263040390E1,2.539065455E1,3.787326953E1
9.992780833E-1,-1.755191467E1,-2.413889666E1,1.538856065E1,3.357921737E1
1.009319083E0,-1.838062768E1,-2.050244308E1,2.997130716E-1,2.753702006E1
1.019360083E0,-1.525427116E1,-1.381606076E1,-1.323074044E1,2.446689224E1
1.029401083E0,-1.532918218E1,-6.273557196E0,-2.511304278E1,3.008332202E1
1.039442083E0,-1.758694768E1,-6.497689158E0,-3.377032737E1,3.862584243E1
1.049484083E0,-2.278978496E1,-9.995302942E0,-3.421625474E1,4.230877531E1
1.059525083E0,-2.528901123E1,-1.083693713E1,-2.749961192E1,3.889989654E1
1.069566083E0,-2.261962163E1,-1.321696440E1,-1.958665216E1,3.271043218E1
1.079607083E0,-1.681346863E1,-1.417984762E1,-1.483350084E1,2.652910766E1
1.089649083E0,-1.136187676E1,-1.587768141E1,-1.315333266E1,2.354152014E1
1.099690083E0,-1.098276084E1,-1.894709307E1,-9.074792154E0,2.370580570E1
1.109731083E0,-1.658303337E1,-1.896891838E1,2.108808850E0,2.528366934E1
1.119772083E0,-1.660662923E1,-1.407656123E1,1.525184106E1,2.658097752E1
1.129814083E0,-1.040314156E1,-1.044770202E1,3.015644404E1,3.356770693E1
1.139855083E0,-1.320133041E0,-9.380639539E0,4.200101781E1,4.305606399E1
1.149896083E0,3.513894771E0,-9.238094362E0,4.399817408E1,4.509466893E1
1.159937083E0,-1.560367796E0,-1.263701884E1,3.743640060E1,3.954254776E1
1.169979083E0,-9.084547064E0,-1.807695955E1,2.957731709E1,3.583466406E1
1.180020083E0,-1.453311534E1,-2.164056618E1,2.417431441E1,3.555169508E1
1.190061083E0,-1.651864267E1,-2.316047271E1,1.858097901E1,3.397831415E1
1.200102083E0,-1.386406289E1,-2.275113720E1,8.959619547E0,2.810874004E1
1.210144083E0,-1.099511835E1,-1.770244773E1,-1.041837004E0,2.086515534E1
1.220185083E0,-1.254594729E1,-1.253725832E1,-1.375693372E1,2.244631072E1
1.230226083E0,-1.478586241E1,-9.923875694E0,-3.029388869E1,3.514007296E1
1.240267083E0,-1.606036012E1,-8.752954388E0,-3.948351080E1,4.351433101E1
1.250309083E0,-2.376446669E1,-9.930316987E0,-3.785529279E1,4.578628905E1
1.260350083E0,-2.354858515E1,-1.250920338E1,-2.722649081E1,3.810902562E1
1.270391083E0,-1.833913233E1,-1.360094637E1,-1.952913544E1,3.004491051E1
1.280432083E0,-1.167177568E1,-1.575885663E1,-1.579990876E1,2.518350704E1
1.290473083E0,-6.878501941E0,-1.784220086E1,-1.269177217E1,2.295079522E1
1.300515083E0,-7.894958521E0,-1.787550075E1,-9.311787990E0,2.164655383E1
1.310556083E0,-1.164152336E1,-1.744001299E1,-5.189147784E0,2.160107345E1
1.320597083E0,-1.783827621E1,-1.584241334E1,1.154756562E1,2.650532834E1
1.330638083E0,-1.221281387E1,-8.848156414E0,2.413777867E1,2.846181747E1
1.340680083E0,6.127882004E-3,-6.129445549E0,3.592336807E1,3.644253714E1
1.350721083E0,4.330092109E0,-7.386173576E0,4.419551527E1,4.501720590E1
1.360762083E0,6.664159387E-1,-1.126015743E1,3.964949688E1,4.122278325E1
1.370803083E0,-9.092196976E0,-1.703969390E1,3.162726436E1,3.705810390E1
1.380845083E0,-1.625632137E1,-2.345493381E1,2.811925539E1,4.006362974E1
1.390886083E0,-1.928291153E1,-2.845005811E1,2.574752649E1,4.294381916E1
1.400926833E0,-2.124071720E1,-3.216099586E1,2.101027142E1,4.389680202E1
1.410967833E0,-2.023932773E1,-3.325164893E1,1.265797409E1,4.093319987E1
1.421009833E0,-1.942218402E1,-2.759055016E1,2.612633602E0,3.384206767E1
1.431050833E0,-2.257912849E1,-1.751993508E1,-9.287783416E0,3.005042578E1
1.441091833E0,-2.690960213E1,-1.007067121E1,-3.022684919E1,4.170380699E1
1.451132833E0,-2.479158392E1,-8.865751855E0,-4.702680725E1,5.389568433E1
1.461174833E0,-2.699237064E1,-9.062432309E0,-4.539895645E1,5.358900072E1
1.471215833E0,-2.879773589E1,-1.469672394E1,-3.136792397E1,4.504719682E1
1.481256833E0,-2.410179958E1,-1.898489882E1,-1.867580214E1,3.591808336E1
1.491297833E0,-1.483880544E1,-2.073038391E1,-1.281715518E1,2.853451298E1
1.501339833E0,-6.343015101E0,-2.345025604E1,-9.846771970E0,2.621273101E1
1.511380833E0,-5.038575549E0,-2.447950866E1,-7.069915223E0,2.597339580E1
1.521421833E0,-7.218826264E0,-2.464848852E1,-3.066892092E0,2.586629594E1
1.531462833E0,-1.693779681E1,-2.244112251E1,1.046588452E1,3.000046131E1
1.541503833E0,-1.879924856E1,-1.368732261E1,1.834566718E1,2.961955521E1
1.551545833E0,-7.300224184E0,-9.884978846E0,2.026416202E1,2.369899454E1
1.561586833E0,-2.292248869E0,-8.143587978E0,3.011255250E1,3.127839907E1
1.571627833E0,2.417895447E0,-7.718171464E0,3.594143128E1,3.684023442E1
1.581668833E0,-1.751700241E0,-1.307276972E1,3.233952305E1,3.492578579E1
1.591710833E0,-1.322566857E1,-1.986219869E1,2.722218960E1,3.620045376E1
1.601751833E0,-2.065168039E1,-2.574256104E1,2.734848478E1,4.286153254E1
1.611792833E0,-2.142371166E1,-3.191566307E1,2.728913087E1,4.714108223E1
1.621833833E0,-2.079717081E1,-3.629896045E1,2.336783602E1,4.791860395E1
1.631875833E0,-1.900149439E1,-3.801404938E1,1.581615818E1,4.534617513E1
1.641916833E0,-1.684280996E1,-3.456514407E1,6.962509473E0,3.907564421E1
1.651957833E0,-2.180072609E1,-2.357523676E1,-5.210397150E0,3.253016577E1
1.661998833E0,-2.891746582E1,-1.280552624E1,-2.779487292E1,4.210411254E1
1.672040833E0,-2.764821774E1,-8.949219689E0,-5.045870652E1,5.822880336E1
1.682081833E0,-2.743940197E1,-9.313945028E0,-5.360195915E1,6.093308114E1
1.692122833E0,-2.817969923E1,-1.490386039E1,-4.024715717E1,5.134251809E1
1.702163833E0,-1.995787551E1,-1.897592101E1,-2.725823418E1,3.874808000E1
1.712205833E0,-6.324048488E0,-2.496657471E1,-2.021562311E1,3.274133259E1
1.722246833E0,-1.160920814E-1,-3.169658427E1,-1.490861651E1,3.502790000E1
1.732287833E0,-3.713457903E0,-3.485073845E1,-1.028043072E1,3.652466285E1
1.742328833E0,-1.193784505E1,-3.224060220E1,-1.692696426E0,3.442141478E1
1.752370833E0,-1.743838864E1,-1.990084411E1,3.239990842E1,4.183174703E1
1.762411833E0,8.329265141E-1,-9.167134892E0,5.073082658E1,5.155915917E1
1.772452833E0,1.449874541E1,-9.306812010E0,5.271876763E1,5.546258945E1
1.782493833E0,9.653505120E0,-7.917780204E0,4.493628264E1,4.663851308E1
1.792535833E0,6.131976809E0,-1.114388321E1,3.091049629E1,3.342523079E1
1.802576833E0,-1.260891244E0,-1.697955529E1,1.979050013E1,2.610668573E1
1.812617833E0,-1.223224885E1,-1.994221199E1,1.219116631E1,2.638075561E1
1.822658833E0,-2.475228361E1,-1.831440796E1,1.356661328E0,3.082099306E1
1.832699833E0,-3.248865512E1,-9.504026315E0,-1.654412015E1,3.767687805E1
1.842741833E0,-2.244848064E1,-2.578168944E0,-3.015816780E1,3.768416542E1
1.852782833E0,-1.190322719E1,-2.303621703E0,-3.211042681E1,3.432306805E1
1.862823833E0,-8.613549750E0,-5.010661526E0,-2.427364223E1,2.623946790E1
1.872864833E0,-1.146452814E1,-8.784794816E0,-1.351428830E1,1.977988912E1
1.882906833E0,-1.262392576E1,-1.075900778E1,-3.580762360E0,1.696884230E1
1.892947833E0,-8.040036128E0,-8.639448822E0,7.891626778E0,1.419718388E1
1.902988833E0,4.392530724E0,-3.854624891E0,3.140631679E1,3.194540959E1
1.913029833E0,1.937128985E1,-3.877890378E0,5.369327863E1,5.721235071E1
1.923071833E0,1.142825202E1,-4.898138292E0,5.976244523E1,6.104217036E1
1.933112833E0,-4.015045592E0,-8.607102025E0,5.024238293E1,5.113218007E1
1.943153833E0,-1.170784833E1,-1.461526521E1,3.811290474E1,4.246496436E1
1.953194833E0,-1.517521797E1,-1.609390677E1,2.967671508E1,3.701362578E1
1.963236833E0,-1.448456123E1,-1.849364383E1,1.738778332E1,2.922588553E1
1.973277833E0,-2.067210355E1,-1.305149638E1,-6.789205602E0,2.537263754E1
1.983318833E0,-1.648038784E1,-5.980040419E0,-2.943965726E1,3.426452227E1
1.993359833E0,-1.795866745E0,-1.331893984E0,-3.607413033E1,3.614335289E1
2.003401833E0,-4.822461873E-2,3.140884513E-1,-2.896567027E1,2.896741326E1
2.013442833E0,1.598258046E0,2.461975998E0,-2.177625901E1,2.197319301E1
2.023483833E0,2.264269650E0,3.676313465E0,-1.679684266E1,1.734289829E1
2.033524833E0,9.482242513E-1,1.579569175E0,-1.263933902E1,1.277290330E1
2.043566833E0,-3.239572064E0,-2.434910406E0,-7.584098318E0,8.598962910E0
2.053607833E0,-1.135944198E1,-5.677287964E0,9.441527181E0,1.582437854E1
2.063648833E0,-1.689088109E1,-4.767758832E0,2.438923701E1,3.004776648E1
2.073689833E0,-1.822389657E1,-7.141137818E0,3.002702645E1,3.584311053E1
2.083730833E0,-1.396378716E1,-1.168567919E1,3.167587811E1,3.653633402E1
2.093772833E0,-8.770961473E0,-1.570642582E1,2.847076895E1,3.367797889E1
2.103813833E0,-7.431488328E0,-1.773583533E1,2.120706998E1,2.862737660E1
2.113854833E0,-7.196172981E0,-1.711532179E1,2.841372001E0,1.878277243E1
2.123895833E0,-4.526321450E0,-1.005099065E1,-2.479622193E1,2.713600230E1
2.133937833E0,1.276226854E1,-5.493723984E0,-4.008181194E1,4.242178862E1
2.143978833E0,1.463262326E1,-8.987866277E-1,-3.488432486E1,3.783963004E1
2.154019833E0,7.324279629E0,1.581042674E0,-2.377677859E1,2.492949996E1
2.164060833E0,3.790290024E0,2.536515718E0,-1.644038002E1,1.706125159E1
2.174102833E0,1.432511117E0,9.118206561E-2,-1.215312198E1,1.223759683E1
2.184143833E0,-3.269179733E0,-5.006860251E0,-8.304526742E0,1.023334501E1
2.194184833E0,-1.134709383E1,-7.809722489E0,-8.620731300E-1,1.380186487E1
2.204225833E0,-2.026288265E1,-7.426424639E0,1.019319143E1,2.386707665E1
2.214267833E0,-2.097297086E1,-8.949706178E0,1.957102255E1,3.004975326E1
2.224308833E0,-1.184386509E1,-1.099497567E1,2.533752441E1,3.005256684E1
2.234349833E0,-1.972630998E0,-1.189320857E1,2.601084766E1,2.866886603E1
2.244390833E0,3.160275342E0,-1.245834430E1,2.122376028E1,2.481220835E1
2.254432833E0,5.133184083E0,-1.205856783E1,8.541469953E0,1.564338026E1
2.264473833E0,6.902743328E0,-8.420263020E0,-1.520022768E1,1.869747620E1
2.274514833E0,1.510750020E1,-6.298583863E0,-3.447461514E1,3.816291144E1
2.284555833E0,1.842502208E1,-3.517511274E0,-3.544669603E1,4.010389736E1
2.294597833E0,1.098846655E1,-5.448692822E-1,-2.610246418E1,2.832634667E1
2.304638833E0,5.715516475E0,4.027544600E-1,-1.960737703E1,2.042739763E1
2.314679833E0,2.300312179E0,-1.779817600E0,-1.622491363E1,1.648353752E1
2.324720833E0,-2.247428792E0,-5.783189811E0,-1.373104224E1,1.506777162E1
2.334761833E0,-8.940265263E0,-7.093674214E0,-7.357890009E0,1.357892125E1
2.344803833E0,-1.529034029E1,-3.804842282E0,4.052262242E0,1.626936263E1
2.354844833E0,-1.230956775E1,-3.761028510E0,1.498206105E1,1.975178338E1
2.364885833E0,-2.882068037E0,-5.844656911E0,2.217716750E1,2.311478074E1
2.374926833E0,4.108597534E0,-5.929135728E0,2.380633042E1,2.487522044E1
2.384968833E0,6.123979572E0,-4.354101069E0,2.030987087E1,2.165530367E1
2.395009833E0,4.715941684E0,-2.580924736E0,1.075539888E1,1.202413753E1
2.405051000E0,1.755386764E-1,-4.109100979E0,-8.942814065E0,9.843243778E0
2.415092000E0,7.993079478E0,-7.819228892E0,-2.762980836E1,2.980664305E1
2.425134000E0,1.368138652E1,-5.325265117E0,-3.022230006E1,3.359949712E1
2.435175000E0,5.789881949E0,-1.854688858E0,-2.276834907E1,2.356608417E1
2.445216000E0,4.278543933E0,-7.606169218E-1,-1.728074303E1,1.781876976E1
2.455257000E0,5.062325769E0,-1.431122988E0,-1.387424056E1,1.483812004E1
2.465299000E0,4.284275081E0,-1.859016382E0,-1.139795642E1,1.231764448E1
2.475340000E0,7.769745076E-1,-4.452506785E0,-7.802460247E0,9.017033435E0
2.485381000E0,-6.213301638E0,-3.882547100E0,1.103457302E-1,7.327446036E0
2.495422000E0,-1.095475268E1,-2.484100692E0,8.874977592E0,1.431581607E1
2.505464000E0,-5.841323998E0,-4.792918816E0,1.606093666E1,1.774955839E1
2.515505000E0,1.897922001E0,-5.509207996E0,1.914184160E1,2.000908745E1
2.525546000E0,6.705896813E0,-3.932066000E0,1.760669138E1,1.924644842E1
2.535587000E0,7.015586404E0,-1.265072004E0,1.055543346E1,1.273719103E1
2.545629000E0,3.097175991E0,-3.039413102E0,-4.531277550E0,6.273994530E0
2.555670000E0,5.007084199E0,-8.210492404E0,-2.126707177E1,2.334033889E1
