"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.980833291E-3,-2.342329102E0,6.286327515E0,6.215824127E0,9.145539285E0
6.977166689E-3,-2.373015289E0,6.397546234E0,5.691763916E0,8.885717521E0
1.693616668E-2,-2.822829895E0,6.366860046E0,5.704637146E0,9.002675182E0
2.689516667E-2,-3.517984314E0,6.145919495E0,6.174060974E0,9.395082170E0
3.685316670E-2,-3.974983978E0,5.904920654E0,6.869065704E0,9.892049798E0
4.681216669E-2,-4.032464447E0,5.604345703E0,7.425907745E0,1.013970247E1
5.677016667E-2,-3.903432770E0,5.355862427E0,7.790848846E0,1.022836133E1
6.672916672E-2,-3.585942993E0,5.079686737E0,7.992180176E0,1.012606283E1
7.668816671E-2,-3.275338898E0,4.852010193E0,8.095166016E0,9.990073104E0
8.664616669E-2,-3.079396362E0,4.929099884E0,7.928861847E0,9.830847258E0
9.660516668E-2,-2.910996552E0,4.796475677E0,7.285948792E0,9.195930058E0
1.065641667E-1,-2.978206787E0,4.539011078E0,6.866670685E0,8.753485222E0
1.165221667E-1,-3.406017151E0,4.667743378E0,6.881340179E0,8.985634298E0
1.264811667E-1,-3.858226776E0,4.954546967E0,6.847061462E0,9.290624315E0
1.364401667E-1,-3.872596893E0,5.257217560E0,6.945406952E0,9.532786628E0
1.463981667E-1,-3.652105408E0,5.406906281E0,7.303013306E0,9.793187059E0
1.563571667E-1,-3.566633148E0,5.198389893E0,7.971523132E0,1.016313488E1
1.663151667E-1,-3.492088165E0,4.791236572E0,8.846453705E0,1.064943054E1
1.762741667E-1,-3.258573761E0,4.498894501E0,9.166937256E0,1.071872629E1
1.862331667E-1,-3.327729950E0,4.459376678E0,9.033265228E0,1.060941599E1
1.961911667E-1,-3.897894287E0,4.602329407E0,8.848100281E0,1.070812282E1
2.061501667E-1,-4.827610931E0,4.646487579E0,8.754395142E0,1.102429628E1
2.161091667E-1,-5.285059662E0,4.712051239E0,8.517138519E0,1.107596186E1
2.260671667E-1,-5.100343781E0,5.047503662E0,8.246800690E0,1.093162941E1
2.360261667E-1,-4.904101868E0,5.453908539E0,7.987090759E0,1.084384398E1
2.459851667E-1,-4.820276184E0,5.934559021E0,7.676935730E0,1.083463869E1
2.559431667E-1,-4.912035370E0,6.544989624E0,7.357500000E0,1.100444396E1
2.659021667E-1,-5.146298218E0,6.831493835E0,4.288432159E0,9.567880839E0
2.758601667E-1,-4.657863922E0,7.920479279E0,3.313210144E0,9.767653238E0
2.858191667E-1,-3.538341980E0,8.525371399E0,6.780749359E0,1.145340051E1
2.957781667E-1,-4.247866516E0,7.837701416E0,6.120472412E0,1.081360791E1
3.057361667E-1,-5.711073761E0,7.975415039E0,6.274502106E0,1.164444010E1
3.156951667E-1,-6.568640442E0,9.153465271E0,6.209986267E0,1.286455958E1
3.256541667E-1,-6.202352142E0,1.031564850E1,5.758974152E0,1.334344631E1
3.356121667E-1,-4.851112061E0,1.150447632E1,4.208049316E0,1.317550540E1
3.455711667E-1,-4.009562073E0,1.167796555E1,2.920277252E0,1.268776917E1
3.555301667E-1,-5.454207916E0,1.112636261E1,3.034340057E0,1.275741151E1
3.654881667E-1,-7.767198029E0,1.079779587E1,4.914729767E0,1.418013856E1
3.754471667E-1,-9.066795502E0,1.081171692E1,6.525230713E0,1.554601683E1
3.854051667E-1,-8.119116211E0,1.102068237E1,7.226971436E0,1.547916678E1
3.953641667E-1,-5.711373138E0,1.132934052E1,7.936495972E0,1.496535024E1
4.053231667E-1,-3.595822449E0,1.163530426E1,8.905580750E0,1.508706773E1
4.152811667E-1,-2.917732544E0,1.196671509E1,9.856553192E0,1.577552136E1
4.252401667E-1,-3.094365234E0,1.261007721E1,1.077683945E1,1.687392699E1
4.351991667E-1,-2.995720367E0,1.295720535E1,1.146166534E1,1.755657380E1
4.451571667E-1,-2.363734589E0,1.317754715E1,1.217029175E1,1.809284365E1
4.551161667E-1,-1.417552185E0,1.383243530E1,1.211595474E1,1.844294120E1
4.650751667E-1,-6.674620056E-1,1.416025360E1,1.134984787E1,1.815977242E1
4.750331667E-1,-8.547225952E-2,1.407942169E1,1.073807007E1,1.770716153E1
4.849921667E-1,1.398092651E-1,1.360386063E1,1.085916824E1,1.740707056E1
4.949501667E-1,3.311114502E-1,1.272399033E1,1.061203217E1,1.657180712E1
5.049091667E-1,1.403780823E0,1.209080704E1,9.992769928E0,1.574844965E1
5.148681667E-1,2.790946198E0,1.143352386E1,9.103469238E0,1.487911290E1
5.248261667E-1,3.332669678E0,1.112291977E1,8.041128387E0,1.412394340E1
5.347851667E-1,3.121758270E0,1.089988358E1,7.381899261E0,1.352942251E1
5.447441667E-1,2.719544678E0,1.051353699E1,7.173831940E0,1.301515455E1
5.547021667E-1,2.672841797E0,9.950707397E0,6.849306793E0,1.237229423E1
5.646611667E-1,3.224295044E0,9.514664154E0,6.385122070E0,1.190355814E1
5.746201667E-1,3.744014282E0,9.338330841E0,5.718258820E0,1.157240467E1
5.845781667E-1,4.164489899E0,9.000184021E0,5.211562500E0,1.120297604E1
5.945371667E-1,4.138593750E0,8.295748901E0,5.113666077E0,1.058758654E1
6.044951667E-1,4.051624603E0,7.563321991E0,4.951553192E0,9.906431269E0
6.144544584E-1,4.233795776E0,6.876999207E0,4.334835663E0,9.165639366E0
6.244134583E-1,4.038302307E0,6.299500122E0,3.356021118E0,8.200881968E0
6.343714584E-1,3.755240936E0,5.746250610E0,2.685415649E0,7.371071006E0
6.443304584E-1,3.446882172E0,5.169649658E0,2.071841583E0,6.549717692E0
6.542894584E-1,3.346890106E0,4.580474854E0,1.548978882E0,5.880625719E0
6.642474583E-1,3.400328979E0,4.004472656E0,1.112636261E0,5.369916002E0
6.742064584E-1,3.566184082E0,3.594924316E0,5.803431702E-1,5.096856673E0
6.841654584E-1,3.725752258E0,3.320844269E0,5.673202515E-2,4.991237829E0
6.941234584E-1,3.668271790E0,3.052153015E0,-3.526666260E-1,4.785000491E0
7.040824583E-1,3.360362091E0,2.608475647E0,-3.897894287E-1,4.271781172E0
7.140404584E-1,2.864293671E0,2.012714539E0,-3.553610229E-1,3.518732656E0
7.239994584E-1,2.411036224E0,1.576222229E0,-4.697232056E-1,2.918597622E0
7.339584584E-1,2.030527496E0,1.290915527E0,-5.881269836E-1,2.476973589E0
7.439164583E-1,1.604513397E0,1.131047974E0,-7.761360168E-1,2.110952363E0
7.538754584E-1,1.291963348E0,1.151555328E0,-8.797206116E-1,1.941431771E0
7.638344584E-1,1.029109955E0,1.210682373E0,-6.906637573E-1,1.732580599E0
7.737924583E-1,7.137158203E-1,1.595083008E0,-1.683998108E-1,1.755573573E0
7.837514583E-1,5.276527405E-1,2.038460999E0,1.266366577E-1,2.109449573E0
7.937104584E-1,3.311114502E-1,2.065255280E0,2.296224976E-1,2.104195964E0
8.036684584E-1,1.886077881E-1,1.999092865E0,2.932402039E-1,2.029269572E0
8.136274584E-1,6.466552734E-2,1.900298309E0,-7.888595581E-2,1.903033969E0
8.235854583E-1,-9.744735718E-2,1.782493286E0,-5.053491211E-1,1.855304837E0
8.335444584E-1,-3.391946411E-1,1.616039429E0,-8.583151245E-1,1.861005452E0
8.435034584E-1,-5.140310669E-1,1.432221680E0,-1.263971558E0,1.978158481E0
