"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.691874979E-3,1.982477417E0,6.894512787E0,6.515950012E0,9.691342933E0
1.265087497E-2,1.951791229E0,7.026687927E0,6.561904449E0,9.810322229E0
2.260887501E-2,1.826501770E0,7.061864777E0,6.587950287E0,9.828892706E0
3.256787499E-2,1.719923401E0,7.109914856E0,6.621031494E0,9.866462578E0
4.252587497E-2,1.522184601E0,7.239694977E0,6.696923676E0,9.978928601E0
5.248487502E-2,1.125060425E0,7.272327118E0,6.780300293E0,1.000624679E1
6.244287500E-2,8.583151245E-1,7.119494934E0,7.056026917E0,1.006038910E1
7.240187499E-2,7.771838379E-1,6.737489319E0,7.463030548E0,1.008437415E1
8.235987497E-2,6.083349609E-1,6.291117554E0,7.524253235E0,9.826628020E0
9.231887502E-2,4.941224670E-1,5.768554230E0,7.390730896E0,9.388465162E0
1.022768750E-1,1.377136230E-2,5.608986053E0,7.440128174E0,9.317533013E0
1.122358750E-1,-3.781137085E-1,6.046526184E0,7.534581757E0,9.668162758E0
1.221938750E-1,-4.547543335E-1,6.396199036E0,7.619305573E0,9.958512992E0
1.321518750E-1,-2.998265076E-1,6.519542542E0,7.674989777E0,1.007471086E1
1.421108750E-1,-3.068618774E-2,6.451733551E0,7.788753204E0,1.011387581E1
1.520688750E-1,2.398013306E-1,6.313271484E0,7.903265076E0,1.011812732E1
1.620278750E-1,4.174818420E-1,6.273005219E0,7.823630676E0,1.003663701E1
1.719858750E-1,4.077520752E-1,6.288572845E0,7.689509583E0,9.941879491E0
1.819448750E-1,2.561174011E-1,6.352639618E0,7.529043274E0,9.854345177E0
1.919028750E-1,1.074765015E-1,6.447841644E0,7.425758057E0,9.835044270E0
2.018618750E-1,3.817062378E-2,6.483317871E0,7.394622803E0,9.834394440E0
2.118198750E-1,-1.556762695E-2,6.392007751E0,7.347021790E0,9.738415406E0
2.217788750E-1,-8.143066406E-2,6.331982574E0,7.303462372E0,9.666498688E0
