"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.877083321E-3,6.839277649E-1,9.314680023E0,3.242407379E0,9.886567996E0
1.783508330E-2,7.274871826E-1,9.355844421E0,3.321742401E0,9.954648915E0
2.779408329E-2,7.807763672E-1,9.367370453E0,3.417992249E0,1.000199540E1
3.775208333E-2,8.138575745E-1,9.353150024E0,3.451971588E0,1.000299392E1
4.771008331E-2,8.066725159E-1,9.288334808E0,3.497177582E0,9.957616939E0
5.766808329E-2,7.948471069E-1,9.228908386E0,3.532504120E0,9.913784206E0
6.762608333E-2,8.216413879E-1,9.191186829E0,3.522774353E0,9.877395863E0
7.758408331E-2,8.173004150E-1,9.173074493E0,3.525468750E0,9.861146259E0
8.754208329E-2,8.339158630E-1,9.184750214E0,3.526516571E0,9.873771887E0
9.750008333E-2,8.482859802E-1,9.236991577E0,3.462749176E0,9.901122884E0
1.074590833E-1,8.243357849E-1,9.243278503E0,3.406615906E0,9.885482229E0
1.174170833E-1,8.223898315E-1,9.223669281E0,3.423530731E0,9.872839648E0
1.273750833E-1,8.666976929E-1,9.207502899E0,3.445684662E0,9.869246036E0
1.373330833E-1,8.842112732E-1,9.147328033E0,3.451821899E0,9.816848484E0
1.472910833E-1,9.425898743E-1,9.126072235E0,3.480412445E0,9.812590937E0
1.572490833E-1,9.901908875E-1,9.113348694E0,3.514990540E0,9.817777799E0
1.672070833E-1,1.040186920E0,9.127718811E0,3.537144470E0,9.844218127E0
1.771650833E-1,1.052162018E0,9.115294647E0,3.530258789E0,9.831498794E0
1.871240833E-1,1.071172485E0,9.145082703E0,3.482657776E0,9.844229442E0
1.970820833E-1,1.066532135E0,9.164991302E0,3.378624115E0,9.825968516E0
2.070400833E-1,1.031804352E0,9.163943481E0,3.279081116E0,9.787484524E0
2.169980833E-1,9.443861389E-1,9.205856323E0,3.247496796E0,9.807440607E0
2.269560833E-1,8.297245789E-1,9.181756439E0,3.205434265E0,9.760527804E0
2.369140833E-1,7.427554321E-1,9.157656555E0,3.266507263E0,9.751124495E0
2.468720833E-1,7.357200623E-1,9.109756165E0,3.273842010E0,9.708088530E0
2.568310833E-1,7.762857056E-1,9.056766357E0,3.279230804E0,9.663384036E0
2.667890833E-1,8.491841125E-1,9.044641571E0,3.386856995E0,9.695228471E0
2.767470833E-1,9.295669556E-1,9.045539703E0,3.460354156E0,9.729333694E0
2.867050833E-1,1.011596375E0,9.070388031E0,3.486100616E0,9.769757610E0
2.966630833E-1,1.044078827E0,9.072932739E0,3.530109100E0,9.791316528E0
3.066210833E-1,1.069226532E0,9.110654297E0,3.557352448E0,9.838801936E0
3.165790833E-1,1.069525909E0,9.148375854E0,3.581452332E0,9.882482848E0
3.265370833E-1,1.029708710E0,9.129066010E0,3.578458557E0,9.859285566E0
3.364960833E-1,1.019829254E0,9.170529785E0,3.583847351E0,9.898617584E0
3.464540833E-1,1.015338593E0,9.119934998E0,3.567980347E0,9.845537597E0
3.564120833E-1,1.003213806E0,9.085955658E0,3.568429413E0,9.812987141E0
3.663700833E-1,1.030756531E0,9.124874725E0,3.568130035E0,9.851768863E0
3.763280833E-1,1.015338593E0,9.161698151E0,3.529061279E0,9.870253238E0
3.862860833E-1,9.951306152E-1,9.155261536E0,3.566333771E0,9.875618223E0
3.962440833E-1,1.004411316E0,9.060508575E0,3.593427429E0,9.798692690E0
4.062030833E-1,1.050066376E0,8.995693359E0,3.623365173E0,9.754686750E0
4.161610833E-1,1.127904510E0,8.973240051E0,3.744912415E0,9.788543027E0
4.261190833E-1,1.174008636E0,8.941056976E0,3.842210083E0,9.802212733E0
4.360770833E-1,1.215173035E0,8.934021606E0,3.892655182E0,9.820700175E0
4.460350833E-1,1.307830353E0,8.916508026E0,3.903881836E0,9.821141940E0
4.559930833E-1,1.314865723E0,8.835227051E0,3.893403625E0,9.744162391E0
4.659510833E-1,1.356778564E0,8.835526428E0,3.967200165E0,9.779879983E0
4.759090833E-1,1.366807709E0,8.789272614E0,4.092639313E0,9.791280454E0
4.858680833E-1,1.407822418E0,8.735234985E0,4.173471222E0,9.782850109E0
4.958260833E-1,1.411265259E0,8.774603119E0,4.228107605E0,9.841860771E0
5.057840833E-1,1.388961639E0,8.800948334E0,4.327500916E0,9.905209245E0
5.157420833E-1,1.336271210E0,8.804391174E0,4.303550720E0,9.890574983E0
5.257000833E-1,1.210682373E0,8.900042267E0,4.312532043E0,9.963655794E0
5.356580833E-1,1.102756805E0,8.851393433E0,4.301305389E0,9.902750442E0
5.456160833E-1,1.099313965E0,8.904981995E0,4.187691650E0,9.901714845E0
5.555750833E-1,9.972262573E-1,8.992549896E0,4.154311066E0,9.955838201E0
5.655330833E-1,9.825567627E-1,9.005572815E0,4.167034607E0,9.971456109E0
5.754910833E-1,8.276289368E-1,8.915759583E0,4.219425659E0,9.898448943E0
5.854490833E-1,3.519181824E-1,8.547675018E0,4.622986450E0,9.724124554E0
5.954070833E-1,5.809419250E-1,8.765621796E0,4.509971466E0,9.874890461E0
6.053650833E-1,5.125341797E-1,8.918304291E0,4.380790100E0,9.949380112E0
6.153230833E-1,7.611671448E-1,9.010213165E0,4.120331726E0,9.936822945E0
