"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.303083311E-3,-1.380878448E0,7.960146790E0,5.584287415E0,9.821152077E0
7.655916677E-3,-1.437460785E0,8.015681305E0,5.461842041E0,9.805567743E0
1.761391666E-2,-1.487905884E0,8.008346558E0,5.326224060E0,9.732221804E0
2.757291665E-2,-1.556014252E0,8.005502472E0,5.223537598E0,9.684760979E0
3.753091668E-2,-1.611698456E0,8.029302979E0,5.216202850E0,9.709585491E0
4.748991667E-2,-1.701661377E0,8.047565002E0,5.258864136E0,9.762919948E0
5.744891666E-2,-1.603166199E0,7.982001343E0,5.216801605E0,9.669410855E0
6.740691670E-2,-1.352287903E0,7.862250366E0,5.220693512E0,9.534112656E0
7.736591669E-2,-1.262175293E0,7.760611725E0,5.182073822E0,9.416691028E0
8.732391667E-2,-1.460812225E0,7.729626160E0,5.175188141E0,9.416138551E0
9.728291666E-2,-1.581760712E0,7.719447327E0,5.154680786E0,9.416080288E0
1.072409167E-1,-1.691482544E0,7.787256317E0,5.115312653E0,9.469366277E0
1.171999167E-1,-1.863325195E0,7.808212738E0,5.096900940E0,9.508867763E0
1.271579167E-1,-1.738484802E0,7.814499664E0,5.000052338E0,9.438710600E0
1.371169167E-1,-1.300794983E0,7.637567596E0,4.816533966E0,9.122691808E0
1.470749167E-1,-8.605604553E-1,7.474107513E0,4.668042755E0,8.854008730E0
1.570339167E-1,-6.701564026E-1,7.341034241E0,4.506977692E0,8.640181783E0
1.669919167E-1,-7.699987793E-1,7.325616302E0,4.321213989E0,8.539932241E0
1.769509166E-1,-1.093775482E0,7.422464905E0,4.286186829E0,8.640643934E0
1.869099167E-1,-1.525028687E0,7.551047516E0,4.468807068E0,8.905855809E0
1.968679167E-1,-1.741478577E0,7.819888458E0,4.562063141E0,9.219317938E0
2.068269167E-1,-1.672771454E0,7.556735687E0,4.190236359E0,8.801164657E0
2.167849167E-1,-1.343905334E0,6.882986755E0,3.948489075E0,8.048114947E0
2.267439167E-1,-1.110839996E0,6.521937561E0,3.836072845E0,7.647554506E0
2.367019167E-1,-1.078956299E0,6.543492737E0,3.995641022E0,7.742518393E0
2.466609167E-1,-1.645079041E0,6.295159149E0,2.572999420E0,6.996830695E0
2.566189167E-1,-2.082319794E0,7.543263702E0,1.474433899E0,7.963092259E0
2.665779167E-1,-3.202889557E0,7.601043549E0,4.920867004E0,9.604649739E0
2.765359167E-1,-4.159101105E0,7.445816345E0,5.452112274E0,1.012244196E1
2.864949167E-1,-4.386927338E0,7.170987854E0,5.960305481E0,1.030502012E1
2.964539167E-1,-4.056564331E0,6.365363159E0,6.406826935E0,9.900555221E0
3.064119167E-1,-3.548221436E0,6.136339417E0,7.044051819E0,9.993157800E0
3.163709167E-1,-2.783312073E0,6.430926819E0,7.800728302E0,1.048594335E1
3.263289166E-1,-1.646725616E0,6.726562042E0,7.884853363E0,1.049424865E1
3.362879167E-1,-6.035449219E-1,7.047943726E0,8.445587311E0,1.101661120E1
3.462459167E-1,-6.701564026E-1,7.424410858E0,8.967701569E0,1.166150323E1
3.562049167E-1,-2.168241119E0,7.965385895E0,8.896000671E0,1.213620492E1
3.661629166E-1,-3.887266388E0,9.063202972E0,8.109685822E0,1.276790869E1
3.761219167E-1,-4.084855499E0,9.835746460E0,6.918313293E0,1.270003983E1
3.860799167E-1,-2.903063049E0,9.999505920E0,5.980962524E0,1.200790600E1
3.960389167E-1,-1.123114471E0,1.020996826E1,5.787714386E0,1.178993112E1
4.059969167E-1,3.701802063E-1,9.754315796E0,6.364914093E0,1.165314728E1
4.159559167E-1,8.560697937E-1,8.865164795E0,7.425308990E0,1.159565505E1
4.259149167E-1,1.219064941E0,8.330476685E0,8.652457123E0,1.207261262E1
4.358729167E-1,2.042203217E0,8.112380219E0,9.779912567E0,1.286965410E1
4.458319167E-1,3.074157257E0,8.075706482E0,1.062475571E1,1.369499587E1
4.557899167E-1,3.983965302E0,7.679630127E0,1.150702103E1,1.439653539E1
4.657489167E-1,4.242777100E0,6.977440338E0,1.238314911E1,1.483334801E1
4.757069167E-1,3.670666809E0,6.487209778E0,1.299462753E1,1.498058845E1
4.856659167E-1,4.046984253E0,6.659800873E0,1.317290680E1,1.530544030E1
4.956239167E-1,4.681664429E0,6.720275116E0,1.310809158E1,1.545645963E1
5.055829167E-1,5.299280090E0,6.837780762E0,1.318952225E1,1.577343058E1
5.155409166E-1,5.917344818E0,6.788982239E0,1.333741470E1,1.609322468E1
5.254999167E-1,6.321504364E0,6.051316223E0,1.357272537E1,1.614926374E1
5.354589167E-1,6.351891174E0,4.872966614E0,1.357751541E1,1.576201922E1
5.454169167E-1,5.795647888E0,3.676504669E0,1.314446594E1,1.482845932E1
5.553759167E-1,5.324128418E0,3.014730835E0,1.228510300E1,1.372438345E1
5.653339167E-1,5.215155029E0,2.947370911E0,1.128158981E1,1.277337489E1
5.752929167E-1,5.210814056E0,2.952909393E0,1.040830582E1,1.200854225E1
5.852509167E-1,4.870421906E0,2.815794525E0,1.012150223E1,1.157991864E1
5.952099166E-1,4.117038574E0,2.480042725E0,1.048629364E1,1.153529249E1
6.051679167E-1,3.499572601E0,1.650467834E0,1.103295685E1,1.169175732E1
6.151269167E-1,3.543431396E0,8.458909607E-1,1.111049561E1,1.169249974E1
6.250849167E-1,3.760929108E0,5.119354248E-1,1.070468948E1,1.135768650E1
6.350439167E-1,3.766916656E0,3.213816833E-1,1.021954834E1,1.089642673E1
6.450029167E-1,3.778143311E0,1.989363098E-1,9.655371552E0,1.037015633E1
6.549609167E-1,3.520678711E0,4.311035156E-2,9.262438660E0,9.909077001E0
6.649199167E-1,2.909050598E0,-1.950444031E-1,9.479487305E0,9.917726416E0
6.748779167E-1,2.177222443E0,-4.221221924E-1,1.007943970E1,1.032054210E1
6.848369167E-1,8.708889771E-1,-8.997789001E-1,9.492360535E0,9.574599637E0
