"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.680999994E-3,-5.508544922E-1,5.936205597E0,7.750283203E0,9.777978691E0
1.163899997E-2,-8.146060181E-1,5.715863800E0,7.537276154E0,9.494483333E0
2.159800002E-2,-8.548722839E-1,5.625451813E0,7.407945099E0,9.340993807E0
3.155600000E-2,-9.072633362E-1,5.682932281E0,7.325017548E0,9.315295387E0
4.151499999E-2,-1.040037231E0,5.691913605E0,7.302564240E0,9.317027552E0
5.147299997E-2,-8.171507263E-1,5.851182404E0,7.258106689E0,9.358642185E0
6.143200002E-2,-4.122427368E-1,6.151158600E0,7.417525177E0,9.645018193E0
7.139000000E-2,-4.616400146E-1,6.047723694E0,7.745792542E0,9.837955859E0
8.134899999E-2,-5.493576050E-1,5.548511810E0,7.840844879E0,9.621155102E0
9.130700002E-2,-2.487826538E-1,5.176685028E0,7.204069061E0,8.874602624E0
1.012650000E-1,-2.671943665E-1,5.145699463E0,6.741979980E0,8.485511761E0
1.112240000E-1,-6.249504089E-1,5.247038727E0,7.162305908E0,8.900595729E0
1.211820000E-1,-1.068777466E0,5.579197998E0,7.750283203E0,9.609194831E0
1.311410000E-1,-1.137634277E0,5.798791351E0,8.074059906E0,1.000553028E1
1.410990000E-1,-1.173409882E0,6.009702759E0,8.293952637E0,1.030936799E1
1.510580000E-1,-1.250050507E0,6.107599182E0,8.306825867E0,1.038598816E1
1.610160000E-1,-1.284778290E0,5.852230225E0,8.852590942E0,1.068960337E1
1.709750000E-1,-1.465003510E0,5.509892120E0,9.242979126E0,1.085991757E1
1.809330000E-1,-1.456022186E0,5.458249512E0,8.797505493E0,1.045507490E1
1.908920000E-1,-1.222358093E0,5.496719513E0,8.407716064E0,1.011917853E1
2.008500000E-1,-1.245410156E0,5.529052277E0,7.799680481E0,9.641394149E0
2.108090000E-1,-1.154399414E0,5.358706512E0,7.508236542E0,9.296342800E0
2.207670000E-1,-8.581654358E-1,4.932991791E0,7.633975067E0,9.129536201E0
2.307260000E-1,-4.394860840E-1,4.549938354E0,8.014633484E0,9.226561490E0
2.406840000E-1,3.278182983E-2,4.502936096E0,8.456664276E0,9.580849587E0
2.506430000E-1,4.370910645E-1,4.691693573E0,8.646170197E0,9.846791165E0
2.606010000E-1,5.995033264E-1,4.793032837E0,8.815168762E0,1.005185397E1
2.705600000E-1,4.147874451E-1,4.721182251E0,8.805438995E0,9.999868318E0
2.805180000E-1,-1.499880981E-1,4.651876373E0,8.746910706E0,9.908122785E0
2.904770000E-1,-6.379733276E-1,4.609963531E0,8.877888336E0,1.002375554E1
3.004350000E-1,-1.191073151E0,5.344635773E0,9.125772858E0,1.064253339E1
3.103940000E-1,-1.873653717E0,6.846612396E0,8.515342255E0,1.108592501E1
3.203520000E-1,-2.232307892E0,8.338260498E0,7.701784058E0,1.156837345E1
3.303100000E-1,-3.260519714E0,9.020242310E0,7.059918823E0,1.190958496E1
3.402690000E-1,-4.665198669E0,8.776249695E0,6.117778015E0,1.167106872E1
3.502270000E-1,-5.805826721E0,8.431965637E0,3.961062927E0,1.097705279E1
3.601860000E-1,-6.863377533E0,9.462722168E0,5.561385040E0,1.294519469E1
3.701440000E-1,-5.461991730E0,1.128832581E1,3.799249420E0,1.310320378E1
3.801030000E-1,-4.967869263E0,1.115600098E1,2.929408264E0,1.255856344E1
3.900610000E-1,-5.086722107E0,1.027987289E1,3.251688080E0,1.192157724E1
4.000200000E-1,-4.580175476E0,1.040351578E1,4.010460205E0,1.205383503E1
4.099780000E-1,-3.584595795E0,1.074315948E1,4.910688171E0,1.234421569E1
4.199370000E-1,-3.730691986E0,9.920769653E0,6.484216003E0,1.242516762E1
4.298950000E-1,-3.386856995E0,9.584419098E0,7.874524841E0,1.285846146E1
4.398540000E-1,-2.069895630E0,1.010338989E1,9.050030365E0,1.372100597E1
4.498120000E-1,4.011657715E-2,1.059436890E1,9.498647461E0,1.422907464E1
4.597710000E-1,2.032174072E0,1.100556381E1,9.729617157E0,1.482961956E1
4.697290000E-1,2.563269653E0,1.139161102E1,1.020936951E1,1.551033135E1
4.796880000E-1,1.849853210E0,1.127889542E1,1.070648575E1,1.566091555E1
4.896460000E-1,1.083596649E0,1.122695343E1,1.052850586E1,1.542945562E1
4.996050000E-1,8.343649292E-1,1.152273834E1,9.598190460E0,1.501981770E1
5.095630000E-1,1.117575989E0,1.184217407E1,8.602311401E0,1.467943542E1
5.195220000E-1,1.277443542E0,1.152513336E1,7.905211029E0,1.403399168E1
5.294800000E-1,1.107995911E0,1.095841187E1,7.483088837E0,1.331582007E1
5.394390000E-1,8.508306885E-1,1.083087708E1,6.992259521E0,1.291988794E1
5.493970000E-1,7.911048889E-1,1.075977493E1,6.771768036E0,1.273795297E1
5.593560000E-1,1.104852448E0,1.058029816E1,6.601721649E0,1.251982974E1
5.693140000E-1,1.533710632E0,1.045006897E1,6.455026703E0,1.237835124E1
5.792720000E-1,1.944905548E0,1.033540741E1,6.305787048E0,1.226239186E1
5.892310000E-1,2.604434052E0,1.007390121E1,5.864953766E0,1.194421387E1
5.991890000E-1,3.281326447E0,9.829160156E0,5.212310944E0,1.159946887E1
6.091480000E-1,3.523522797E0,9.605076141E0,4.667743378E0,1.124546703E1
6.191060000E-1,3.284170532E0,9.372310181E0,4.374353485E0,1.085177140E1
6.290650000E-1,2.590662689E0,9.164691925E0,4.465513916E0,1.051874164E1
6.390230000E-1,2.152074738E0,9.120833130E0,4.557572479E0,1.042077202E1
6.489820000E-1,2.319127350E0,9.172775116E0,4.582420807E0,1.051269401E1
6.589400000E-1,2.895877991E0,9.163793793E0,4.496349792E0,1.061029630E1
6.688990000E-1,3.556005249E0,9.258546753E0,4.284989319E0,1.080402678E1
6.788570000E-1,3.961362305E0,9.387728119E0,4.079167328E0,1.097549255E1
6.888160000E-1,3.890559540E0,9.464518433E0,4.115541687E0,1.102956237E1
6.987740000E-1,3.684887238E0,9.405990143E0,4.217479706E0,1.094706260E1
