"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.120083314E-3,-5.381010132E0,5.915698242E0,4.874164124E0,9.365267302E0
1.207908330E-2,-5.390590210E0,5.908662872E0,4.884492645E0,9.371714259E0
2.203908330E-2,-5.446573792E0,5.859714661E0,4.898862762E0,9.380846355E0
3.199808334E-2,-5.584137726E0,5.775140533E0,4.968318329E0,9.445582530E0
4.195708333E-2,-5.637875977E0,5.723647614E0,5.049150238E0,9.488925422E0
5.191608332E-2,-5.580096130E0,5.751489716E0,5.173691254E0,9.538563202E0
6.187608332E-2,-5.514382782E0,5.882467346E0,5.274880829E0,9.635154763E0
7.183508330E-2,-5.434449005E0,6.064488831E0,5.370382233E0,9.754602303E0
8.179408329E-2,-5.315446472E0,6.196963348E0,5.462740173E0,9.823332232E0
9.175408335E-2,-5.178930359E0,6.284082184E0,5.587430878E0,9.875747687E0
1.017130833E-1,-5.096601562E0,6.336772614E0,5.707630920E0,9.935143953E0
1.116720833E-1,-5.040318604E0,6.379583588E0,5.792504425E0,9.982835564E0
1.216310833E-1,-4.962480469E0,6.486611023E0,5.833818512E0,1.003672125E1
1.315910833E-1,-4.911586304E0,6.646777954E0,5.840704193E0,1.012013649E1
1.415500833E-1,-4.777614899E0,6.883884888E0,5.843847656E0,1.021587151E1
1.515090833E-1,-4.581672363E0,7.162455597E0,5.803731079E0,1.029445415E1
1.614680833E-1,-4.394860840E0,7.444020081E0,5.759872284E0,1.038770261E1
1.714280833E-1,-4.273762665E0,7.719297638E0,5.796096954E0,1.055686238E1
1.813870833E-1,-4.186793518E0,8.010142822E0,5.964496765E0,1.082898193E1
1.913460833E-1,-4.185895386E0,8.294701080E0,6.246061249E0,1.119540385E1
2.013060833E-1,-4.216431885E0,8.468489685E0,6.579717407E0,1.152329365E1
2.112650833E-1,-4.152065735E0,8.480015717E0,6.876400452E0,1.168054791E1
2.212240833E-1,-4.075874176E0,8.314759369E0,7.195087738E0,1.172677540E1
2.311830833E-1,-4.096980286E0,8.143665161E0,7.404202881E0,1.174422198E1
2.411430833E-1,-3.989503784E0,8.129893799E0,7.572453003E0,1.180480233E1
2.511020833E-1,-3.867058411E0,8.238268433E0,7.588020630E0,1.184910396E1
2.610610834E-1,-3.617078247E0,8.392298126E0,7.544910278E0,1.185072124E1
2.710200833E-1,-3.322191467E0,8.626411285E0,7.418123932E0,1.185244660E1
2.809800833E-1,-3.076402588E0,8.860374756E0,7.266339569E0,1.186466116E1
2.909390833E-1,-2.881208496E0,9.024583282E0,7.195387115E0,1.189613641E1
