"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-7.778750150E-4,-3.805087280E-1,5.008734283E0,8.123457184E0,9.551060812E0
9.181125031E-3,-1.151106262E-1,4.954397278E0,8.055199127E0,9.457565005E0
1.913912501E-2,1.588197327E-1,4.914580078E0,7.940986633E0,9.340106518E0
2.909812500E-2,3.632945251E-1,5.023852844E0,7.957751770E0,9.417902821E0
3.905712499E-2,5.623805237E-1,5.192552032E0,8.071964264E0,9.614336979E0
4.901612503E-2,7.584727478E-1,5.313799896E0,8.221353607E0,9.818472660E0
5.897512502E-2,8.533753967E-1,5.244344330E0,8.374485168E0,9.917832367E0
6.893412501E-2,9.214837646E-1,5.050048370E0,8.419391785E0,9.860947160E0
7.889212499E-2,9.738748169E-1,4.845423889E0,8.315208435E0,9.673120290E0
8.885112498E-2,1.109193420E0,4.674778748E0,7.934849396E0,9.276082218E0
9.881012503E-2,8.466394043E-1,4.455784149E0,7.460186462E0,8.730704022E0
1.087691250E-1,2.104623413E-1,4.505331116E0,7.024292908E0,8.347634019E0
1.187281250E-1,-2.424957275E-1,4.696633301E0,6.756649475E0,8.232222098E0
1.286871250E-1,-4.914280701E-1,4.712051239E0,6.801855469E0,8.289159562E0
1.386451250E-1,-4.884342957E-1,4.510420532E0,7.176226959E0,8.490035030E0
1.486041250E-1,-1.240919495E-1,4.127666473E0,7.962990875E0,8.970075418E0
1.585631250E-1,2.038760376E-1,3.694766693E0,8.994795227E0,9.726212394E0
1.685221250E-1,2.426454163E-1,3.141217804E0,1.012689102E1,1.060566112E1
1.784811250E-1,-5.260061646E-1,2.708168335E0,1.104313568E1,1.138251747E1
1.884401250E-1,-1.540296936E0,2.462229767E0,1.131377289E1,1.168060559E1
1.983981250E-1,-2.125729523E0,2.201472015E0,1.113414642E1,1.154705251E1
2.083571250E-1,-2.225272522E0,2.082918549E0,1.100990479E1,1.142402691E1
2.183161250E-1,-2.168690186E0,2.172282715E0,1.116079102E1,1.157520131E1
2.282751250E-1,-1.912722473E0,2.385738831E0,1.131661697E1,1.172246035E1
2.382341250E-1,-1.504671021E0,2.709814911E0,1.157737473E1,1.198510481E1
2.481931250E-1,-1.255888367E0,3.057392120E0,1.181792450E1,1.227144008E1
2.581511250E-1,-1.296454010E0,3.368295593E0,1.164353714E1,1.219008471E1
2.681101250E-1,-1.363065491E0,3.417243805E0,1.113579300E1,1.172780408E1
2.780691250E-1,-1.275497589E0,3.054098969E0,1.039992325E1,1.091388190E1
2.880281250E-1,-1.195114746E0,2.700384521E0,9.729168091E0,1.016745236E1
2.979871250E-1,-1.249002686E0,3.080144806E0,9.731263733E0,1.028322875E1
3.079451250E-1,-1.809437256E0,3.626957703E0,1.018272491E1,1.095977974E1
3.179041250E-1,-2.168241119E0,4.027824097E0,1.097427887E1,1.188946732E1
3.278631250E-1,-2.136956177E0,4.281696167E0,1.162018570E1,1.256694949E1
3.378221250E-1,-1.866618347E0,4.326453094E0,1.152079239E1,1.244713291E1
3.477811250E-1,-1.600771179E0,4.155658264E0,1.044542862E1,1.135512849E1
3.577401250E-1,-1.319955139E0,3.905378723E0,9.446106720E0,1.030646383E1
3.676977917E-1,-1.219064941E0,3.512445831E0,9.508377228E0,1.020943841E1
3.776567917E-1,-1.725461884E0,3.089425507E0,1.034378998E1,1.093232637E1
3.876157917E-1,-2.651436310E0,2.574346619E0,1.127156067E1,1.186193302E1
3.975747917E-1,-3.431015167E0,1.799707489E0,1.172182434E1,1.234552461E1
4.075337917E-1,-4.165837097E0,8.954379272E-1,1.164772842E1,1.240264428E1
