"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.937124995E-3,-3.069666595E0,4.809049530E0,7.529941406E0,9.447212709E0
1.189612498E-2,-2.932851105E0,4.803810425E0,7.524103546E0,9.396294183E0
2.185512503E-2,-2.839295654E0,4.768633575E0,7.594008179E0,9.405871900E0
3.181412502E-2,-2.675835571E0,4.636608124E0,7.581883392E0,9.281335393E0
4.177312501E-2,-2.564317474E0,4.512216797E0,7.720944214E0,9.303160973E0
5.173212499E-2,-2.525847473E0,4.427343292E0,7.878416748E0,9.383534757E0
6.169112498E-2,-2.639012146E0,4.409680023E0,8.043822784E0,9.545299786E0
7.165012503E-2,-2.711012421E0,4.395609283E0,8.072113953E0,9.582796720E0
8.160912502E-2,-2.694995728E0,4.437821503E0,8.061036987E0,9.588408573E0
9.156812500E-2,-2.679278412E0,4.433929596E0,8.219108276E0,9.715554813E0
1.015271250E-1,-2.739602966E0,4.478836212E0,8.401279449E0,9.906911457E0
1.114861250E-1,-2.690205688E0,4.509971466E0,8.255632324E0,9.784299379E0
1.214451250E-1,-2.528691559E0,4.479135590E0,8.251590729E0,9.723460607E0
1.314041250E-1,-2.657723236E0,4.523144073E0,8.448730774E0,9.945017687E0
1.413631250E-1,-2.863395538E0,4.589605865E0,8.504564667E0,1.007924284E1
1.513221250E-1,-2.942580872E0,4.596940613E0,8.468489685E0,1.007501676E1
1.612811250E-1,-3.043471069E0,4.599335632E0,8.305328979E0,9.969708816E0
1.712401250E-1,-3.131038971E0,4.725672913E0,8.188122711E0,9.958952909E0
1.811991250E-1,-3.117566986E0,4.858895874E0,8.204588470E0,1.003211668E1
1.911581250E-1,-2.427801361E0,4.912334747E0,7.866741028E0,9.587015517E0
2.011171250E-1,-1.497336273E0,4.900808716E0,7.371870117E0,8.977995935E0
2.110761250E-1,-1.486259308E0,4.907993774E0,7.324119415E0,8.940922482E0
2.210351250E-1,-2.407144318E0,4.951104126E0,7.560028839E0,9.352102003E0
2.309941250E-1,-3.034190369E0,4.772675171E0,7.658224640E0,9.520144123E0
2.409531250E-1,-2.999612274E0,4.209546204E0,7.950566711E0,9.483114682E0
2.509121250E-1,-2.782863007E0,3.571273499E0,8.327632599E0,9.478807183E0
2.608714167E-1,-2.737806702E0,3.015778656E0,8.624016266E0,9.537513460E0
2.708304166E-1,-2.723436584E0,2.962788849E0,8.568781128E0,9.466743612E0
2.807894167E-1,-2.658022614E0,3.364703064E0,8.707841949E0,9.706328984E0
2.907474167E-1,-3.006647644E0,3.610791321E0,9.089099121E0,1.023178708E1
3.007074167E-1,-3.036735077E0,3.594475250E0,9.630373535E0,1.071849368E1
3.106664167E-1,-3.433709564E0,3.584595795E0,1.014694931E1,1.129602889E1
3.206244167E-1,-3.784879303E0,3.763024750E0,1.015458344E1,1.147175799E1
3.305834167E-1,-4.191284180E0,3.762725372E0,9.912237396E0,1.140076381E1
3.405434167E-1,-4.727319489E0,3.685485992E0,9.695637817E0,1.139893632E1
3.505014167E-1,-4.283193054E0,3.409609680E0,9.647288361E0,1.109240072E1
3.604604166E-1,-3.931424561E0,3.630849609E0,9.802665253E0,1.116832190E1
3.704194167E-1,-4.070485382E0,4.105063477E0,9.919272766E0,1.148095682E1
3.803784167E-1,-4.232149200E0,4.446353760E0,9.937534790E0,1.168057132E1
3.903374167E-1,-4.227359161E0,4.270319824E0,9.867031403E0,1.155268391E1
4.002974167E-1,-4.350103912E0,4.270319824E0,9.790690155E0,1.153328440E1
4.102554166E-1,-4.127965851E0,4.408332825E0,9.759704590E0,1.147716577E1
4.202144167E-1,-3.665128326E0,4.347409515E0,9.142687683E0,1.076670206E1
4.301734167E-1,-3.429218903E0,4.482129364E0,7.421866150E0,9.323793384E0
4.401324167E-1,-2.887645111E0,4.805457001E0,7.789501648E0,9.597252065E0
4.500914167E-1,-2.677631836E0,4.550387421E0,8.521928558E0,1.002491917E1
4.600504166E-1,-2.279908905E0,4.319717102E0,8.996890869E0,1.023728410E1
4.700094167E-1,-1.603166199E0,4.739743652E0,9.072333984E0,1.036062526E1
4.799684167E-1,-7.241940308E-1,5.418731689E0,8.946445770E0,1.048456017E1
4.899274167E-1,-2.543211365E-1,5.914949799E0,9.082512817E0,1.084174107E1
4.998864167E-1,-4.369413757E-1,5.987099762E0,9.505084076E0,1.124201515E1
5.098454166E-1,-2.984793091E-1,5.854625244E0,9.750274200E0,1.137688770E1
5.198044167E-1,-1.818717957E-1,6.045927429E0,9.484427032E0,1.124902982E1
5.297634167E-1,1.520837402E-1,6.360423431E0,9.311536560E0,1.127753647E1
5.397224167E-1,7.054829407E-1,6.757547607E0,9.404193878E0,1.160176790E1
5.496814167E-1,1.047371979E0,7.149732056E0,9.325607300E0,1.179756789E1
5.596404166E-1,1.401385803E0,7.394024048E0,9.030570831E0,1.175528321E1
5.695994167E-1,1.667682037E0,7.608527985E0,8.559500427E0,1.157306826E1
5.795584167E-1,1.706002350E0,7.707621918E0,8.032296753E0,1.126213438E1
5.895174167E-1,1.500479736E0,7.835905151E0,7.999065857E0,1.129769461E1
5.994764167E-1,1.625469818E0,7.842491455E0,8.081843719E0,1.137818185E1
6.094354166E-1,2.108964386E0,8.137677612E0,7.936945038E0,1.156134180E1
6.193944167E-1,2.638114014E0,8.494685211E0,7.694299622E0,1.176101905E1
6.293534167E-1,2.885100403E0,8.707243195E0,7.722441101E0,1.199066241E1
6.393124167E-1,2.964285736E0,8.706494751E0,7.837701416E0,1.208385718E1
6.492714167E-1,3.150498505E0,8.788524170E0,7.715106354E0,1.211142700E1
6.592304166E-1,3.460803223E0,8.914262695E0,7.420968018E0,1.210421433E1
6.691894167E-1,3.710484009E0,8.945098572E0,7.148983612E0,1.203704477E1
6.791484167E-1,4.066593475E0,8.990154877E0,6.701414337E0,1.192765783E1
6.891074167E-1,4.574187927E0,9.189540253E0,6.266119537E0,1.202643336E1
6.990664167E-1,5.075345764E0,9.498946838E0,5.841901703E0,1.225222189E1
7.090254166E-1,5.451663208E0,9.780511322E0,5.739664307E0,1.258263803E1
7.189844167E-1,5.576503601E0,9.879754944E0,6.026467896E0,1.284621600E1
7.289434167E-1,5.730084229E0,9.875114594E0,6.411167908E0,1.309407604E1
7.389024167E-1,5.938450928E0,9.881551208E0,6.506070557E0,1.323779467E1
7.488614167E-1,6.174510040E0,9.848919067E0,6.202950897E0,1.317582562E1
7.588204167E-1,6.424939270E0,9.831255798E0,5.742957458E0,1.307344620E1
7.687794167E-1,6.625671844E0,9.789342957E0,5.438789978E0,1.301196370E1
7.787384167E-1,6.618337097E0,9.712702332E0,5.407055969E0,1.293735780E1
7.886974167E-1,6.454278259E0,9.532327423E0,5.570965118E0,1.278900412E1
7.986564166E-1,6.374793549E0,9.344617767E0,5.639522552E0,1.263978198E1
8.086154167E-1,6.428681488E0,9.175768890E0,5.466781769E0,1.246628988E1
8.185744167E-1,6.424041138E0,9.013656006E0,5.233716431E0,1.224361412E1
8.285334167E-1,6.380930786E0,8.812174988E0,5.079237671E0,1.200705464E1
8.384924167E-1,6.195765839E0,8.579259338E0,4.965773621E0,1.168974391E1
8.484514166E-1,5.971232758E0,8.315807190E0,4.934039612E0,1.136455088E1
8.584104167E-1,5.783373413E0,8.014483795E0,5.002896423E0,1.107737926E1
8.683694167E-1,5.539231110E0,7.608078918E0,4.988376617E0,1.065128384E1
8.783284167E-1,5.277724915E0,7.223528595E0,4.562212830E0,1.004228717E1
8.882874167E-1,5.032534790E0,6.920259247E0,4.043691101E0,9.464028327E0
8.982464166E-1,4.625082092E0,6.623127136E0,3.626508636E0,8.854872236E0
9.082054167E-1,4.134851532E0,6.241720276E0,3.367098083E0,8.209349469E0
9.181644167E-1,3.686533813E0,5.915847931E0,3.255879364E0,7.693408785E0
9.281234167E-1,3.347937927E0,5.610183563E0,3.115471344E0,7.238025261E0
9.380824167E-1,3.010689240E0,5.254672852E0,2.969973907E0,6.745115380E0
9.480414166E-1,2.596949615E0,4.975802765E0,2.867886200E0,6.302978004E0
9.580004167E-1,2.113455048E0,4.704267426E0,2.683170319E0,5.813452262E0
