"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.696666681E-3,1.103804626E0,6.804998932E0,7.673642578E0,1.031557975E1
1.365666668E-2,8.499325562E-1,6.751410370E0,7.613168335E0,1.021098719E1
2.361566667E-2,7.758366394E-1,6.781946869E0,7.653434601E0,1.025532969E1
3.357466671E-2,9.539662170E-1,6.871460724E0,7.473658447E0,1.019718562E1
4.353466671E-2,1.226848755E0,6.874005432E0,7.258855133E0,1.007214408E1
5.349366670E-2,1.357826385E0,6.743177490E0,7.089257813E0,9.877839414E0
6.345366669E-2,1.474583588E0,6.479425964E0,6.960525513E0,9.623215315E0
7.341266668E-2,1.900897064E0,6.101162567E0,6.782545624E0,9.318826077E0
8.337266668E-2,2.104922791E0,6.268514557E0,6.783892822E0,9.473445863E0
9.333166666E-2,2.175575867E0,6.286477203E0,6.978338470E0,9.641064972E0
1.032916667E-1,2.101629639E0,6.165977783E0,7.177125092E0,9.692639153E0
1.132506667E-1,2.024090881E0,6.187233582E0,7.281458130E0,9.767212283E0
1.232106667E-1,1.992805939E0,6.287974091E0,7.292834473E0,9.833378276E0
1.331696667E-1,1.910028076E0,6.399941254E0,7.221882019E0,9.836820381E0
1.431296667E-1,1.700613556E0,6.454877014E0,7.011269989E0,9.680673044E0
1.530886667E-1,1.556912384E0,6.429130554E0,6.544540558E0,9.305305313E0
1.630476667E-1,1.719624023E0,6.403384094E0,6.036047974E0,8.966287402E0
1.730076667E-1,1.673669586E0,6.261778564E0,5.670508118E0,8.611951172E0
1.829666667E-1,1.173858948E0,6.236780548E0,5.605842590E0,8.467635300E0
1.929266667E-1,5.911207581E-1,6.619235229E0,5.549709320E0,8.658115979E0
2.028856667E-1,1.704954529E-1,7.051236877E0,5.490582275E0,8.938428493E0
2.128456667E-1,5.957611084E-2,7.362589417E0,5.566324768E0,9.230126958E0
2.228046667E-1,6.256988525E-2,7.529043274E0,5.804928589E0,9.507239533E0
2.327646667E-1,2.143542480E-1,7.495063934E0,6.309978333E0,9.799885595E0
2.427236667E-1,1.029858398E-1,7.015461273E0,6.536607056E0,9.589292714E0
2.526836667E-1,-5.185217285E-1,6.890022125E0,4.947212219E0,8.498010262E0
2.626426667E-1,-6.406677246E-1,6.716832275E0,7.233408051E0,9.891839211E0
2.726026667E-1,-5.234614563E-1,6.301895142E0,8.746012573E0,1.079261925E1
2.825616667E-1,1.462458801E-1,6.279292145E0,7.859855347E0,1.006122377E1
2.925206667E-1,7.803273010E-1,6.137237549E0,7.548353119E0,9.759724906E0
3.024806667E-1,8.548722839E-1,5.771997070E0,7.508236542E0,9.508962760E0
3.124396667E-1,3.927832031E-1,5.340145111E0,7.064409485E0,8.864384345E0
3.223996667E-1,4.076023865E-1,5.269192657E0,6.783443756E0,8.599165085E0
3.323586667E-1,6.038442993E-1,5.462291107E0,6.366111603E0,8.410031452E0
3.423186667E-1,6.330335999E-1,5.912255402E0,5.689967651E0,8.229898380E0
3.522776667E-1,4.610412598E-1,6.385571136E0,5.314847717E0,8.320798281E0
3.622376667E-1,-1.883084106E-1,6.668632507E0,5.689967651E0,8.768229664E0
3.721966667E-1,-7.782316589E-1,6.777156830E0,6.205196228E0,9.221711308E0
3.821566667E-1,-9.666897583E-1,6.944808197E0,6.570586395E0,9.609238032E0
3.921156667E-1,-1.138083344E0,6.972500610E0,6.552174683E0,9.635454921E0
4.020746667E-1,-1.458716583E0,6.889872437E0,6.460714874E0,9.557145649E0
