"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.398874971E-3,-1.891466675E0,9.026229858E-2,1.009979736E1,1.027578222E1
8.560125018E-3,-2.023043060E0,8.577163696E-2,9.982740784E0,1.018602835E1
1.852012501E-2,-2.016456757E0,7.125183105E-2,1.016341507E1,1.036176532E1
2.847912500E-2,-2.192790070E0,4.490661621E-2,1.061742096E1,1.084158534E1
3.843812505E-2,-2.145787811E0,1.215472412E-1,1.093131821E1,1.114059679E1
4.839712504E-2,-2.168390808E0,2.329156494E-1,1.091066116E1,1.112648621E1
5.835612502E-2,-2.375559998E0,2.868035889E-1,1.090063202E1,1.116016667E1
6.831512501E-2,-1.938319244E0,5.354365540E-1,1.107187592E1,1.125300893E1
7.827412500E-2,-1.136436768E0,5.043013000E-1,1.123518631E1,1.130377016E1
8.823412500E-2,-7.161108398E-1,1.059796143E-1,1.157363251E1,1.159625008E1
9.819312504E-2,-1.196012878E-1,2.350112915E-2,1.161315033E1,1.161378996E1
1.081521250E-1,-5.628295898E-1,-1.871109009E-2,1.169712570E1,1.171067363E1
1.181111250E-1,-3.382965088E-1,2.586621094E-1,1.169143753E1,1.169919066E1
1.280701250E-1,-1.235231323E0,7.828720093E-1,1.060230240E1,1.070268663E1
1.380291250E-1,-2.430046692E0,1.224753113E0,1.016476227E1,1.052271539E1
1.479881250E-1,-2.815495148E0,1.417402496E0,1.030427216E1,1.077562376E1
1.579481250E-1,-2.665057983E0,1.550625458E0,1.022059616E1,1.067555897E1
1.679071250E-1,-2.420616302E0,1.685644684E0,1.024439667E1,1.066060244E1
1.778661250E-1,-2.327659607E0,1.637893982E0,1.021685394E1,1.060588518E1
1.878251250E-1,-2.642155609E0,1.642234955E0,1.011835876E1,1.058579737E1
1.977841250E-1,-3.033292236E0,1.751507721E0,9.914782104E0,1.051530053E1
2.077431250E-1,-3.468287659E0,2.139650574E0,9.765243073E0,1.058145057E1
2.177021250E-1,-3.980971527E0,2.500849457E0,9.499844971E0,1.059950172E1
2.276621250E-1,-4.631668396E0,2.775079193E0,8.775052185E0,1.030315279E1
2.376211250E-1,-4.699926453E0,2.909349976E0,7.779771881E0,9.543504412E0
2.475801250E-1,-4.193529510E0,2.768642578E0,5.194048920E0,7.226978322E0
2.575391250E-1,-3.510050812E0,3.349883881E0,4.459676056E0,6.590211623E0
2.674981250E-1,-2.971919861E0,3.999832306E0,6.888974304E0,8.502289874E0
2.774571250E-1,-2.343077545E0,4.539460144E0,7.681875458E0,9.225395457E0
2.874161250E-1,-1.634750519E0,4.656217346E0,7.161258087E0,8.696918226E0
2.973761250E-1,-1.410367126E0,3.906426544E0,8.788524170E0,9.720466083E0
3.073351250E-1,-1.306333466E0,3.637585602E0,9.483678589E0,1.024103001E1
3.172941250E-1,-2.092798004E0,3.190315704E0,1.016266663E1,1.085530795E1
3.272531250E-1,-2.370769958E0,2.870879974E0,1.087428680E1,1.149402521E1
3.372121250E-1,-2.819087677E0,2.789000244E0,9.628277893E0,1.041294929E1
3.471711250E-1,-2.382595367E0,3.959116974E0,6.876101074E0,8.284451333E0
3.571301250E-1,-3.458258514E0,6.293213196E0,8.386460266E0,1.104068839E1
3.670891250E-1,-6.181096344E0,6.405629425E0,8.158634033E0,1.207482296E1
3.770491250E-1,-5.215304718E0,6.910828857E0,6.368806000E0,1.074805325E1
3.870081250E-1,-4.559518433E0,7.390581207E0,5.554948425E0,1.030860567E1
3.969671250E-1,-5.332510986E0,6.949149170E0,5.942193146E0,1.058470628E1
4.069261250E-1,-5.432952118E0,6.425388336E0,7.223528595E0,1.108972269E1
4.168851250E-1,-4.849764862E0,7.027586060E0,8.562793579E0,1.209250259E1
4.268441250E-1,-4.706512756E0,8.267757111E0,9.981094208E0,1.378873858E1
4.368031250E-1,-4.546944580E0,8.663085022E0,9.911788330E0,1.392721419E1
4.467631250E-1,-3.573518829E0,8.681945801E0,9.339977417E0,1.324316419E1
4.567221250E-1,-1.897903290E0,8.770262146E0,9.125024414E0,1.279787504E1
4.666811250E-1,-4.659809875E-1,8.990903320E0,9.770931244E0,1.328625523E1
4.766401250E-1,-6.867718506E-1,9.387279053E0,1.086889801E1,1.437795561E1
4.865991250E-1,-1.630559235E0,1.024334885E1,1.083267334E1,1.499772418E1
4.965581250E-1,-1.922751617E0,1.245245499E1,1.059496765E1,1.646250128E1
5.065171250E-1,-2.043400726E0,1.435350174E1,1.250649261E1,1.914708480E1
5.164771250E-1,-1.951940918E0,1.477682144E1,1.587553665E1,2.177606919E1
5.264361250E-1,-1.476978607E0,1.449465820E1,1.816203186E1,2.328381377E1
5.363951250E-1,-9.078620911E-1,1.391386597E1,1.827878906E1,2.298986754E1
5.463541250E-1,-4.703219604E-1,1.351719086E1,1.723411148E1,2.190776689E1
5.563131250E-1,-5.011578369E-1,1.310629532E1,1.618449417E1,2.083180232E1
5.662721250E-1,-1.292262726E0,1.216984268E1,1.520912247E1,1.952158856E1
5.762311250E-1,-2.052831116E0,1.106753494E1,1.404364609E1,1.799801213E1
5.861911250E-1,-2.068847809E0,1.051608170E1,1.339250015E1,1.715305121E1
5.961501250E-1,-1.791624298E0,1.016880386E1,1.261771133E1,1.630402186E1
6.061091250E-1,-1.204694824E0,1.009006760E1,1.215307755E1,1.584165545E1
6.160681250E-1,-6.589297485E-1,9.931696930E0,1.219723572E1,1.574310489E1
6.260271251E-1,-1.065933380E0,9.079069977E0,1.203676941E1,1.511454741E1
6.359861250E-1,-1.890269165E0,8.099357300E0,1.146555725E1,1.416445231E1
6.459451250E-1,-2.752476196E0,7.357200623E0,1.069166656E1,1.326711197E1
6.559051250E-1,-2.999911652E0,6.500083008E0,9.819280701E0,1.215190613E1
6.658641250E-1,-2.696791992E0,5.469176788E0,8.938512268E0,1.082042436E1
6.758231250E-1,-2.031275940E0,4.546345825E0,7.853867798E0,9.299386092E0
6.857821250E-1,-1.650018768E0,3.693569183E0,6.606661377E0,7.746805135E0
6.957411250E-1,-1.665436707E0,2.838547211E0,5.315895538E0,6.252181624E0
7.057001250E-1,-1.877695312E0,2.061363373E0,4.420607300E0,5.226540686E0
7.156591250E-1,-1.910776520E0,1.300645294E0,3.971391449E0,4.595072919E0
7.256191250E-1,-1.944456482E0,3.248245239E-1,3.661386108E0,4.158385530E0
7.355781251E-1,-2.281405792E0,-7.795788574E-1,2.542612610E0,3.503917018E0
7.455371250E-1,-2.363884277E0,-1.639241180E0,9.351054382E-1,3.024811185E0
7.554961250E-1,-2.176623688E0,-2.295476532E0,-3.745211792E-1,3.185462180E0
7.654551250E-1,-1.856439514E0,-2.928959198E0,-1.276695099E0,3.695283484E0
7.754141250E-1,-1.501527557E0,-3.435056763E0,-2.081571350E0,4.288022767E0
7.853731251E-1,-1.209185486E0,-3.601061554E0,-2.880609741E0,4.767356326E0
7.953331250E-1,-1.021026764E0,-3.669169922E0,-3.638932800E0,5.267554982E0
8.052921250E-1,-9.048683167E-1,-3.721860352E0,-4.216282196E0,5.696320453E0
8.152511250E-1,-7.274871826E-1,-3.844904480E0,-4.595743103E0,6.036007184E0
8.252101250E-1,-5.574407959E-1,-4.087849274E0,-4.635111237E0,6.205280663E0
8.351691250E-1,-4.360432434E-1,-4.267475739E0,-4.592749329E0,6.284491171E0
8.451281250E-1,-4.761598206E-1,-4.296365662E0,-4.682712250E0,6.372854940E0
8.550871250E-1,-5.453160095E-1,-4.233945465E0,-4.765490112E0,6.397934023E0
8.650471250E-1,-6.298901367E-1,-4.063899078E0,-4.733307037E0,6.270265769E0
8.750061250E-1,-9.208850098E-1,-3.722010040E0,-4.342769165E0,5.793188411E0
8.849651250E-1,-9.160949707E-1,-3.320544891E0,-3.821403351E0,5.144742165E0
8.949241251E-1,-6.089337158E-1,-3.059936829E0,-3.693569183E0,4.834921610E0
9.048831250E-1,-4.074526978E-1,-2.896476746E0,-3.780089264E0,4.779609825E0
9.148421250E-1,-3.076103210E-1,-3.086282043E0,-3.586392059E0,4.741515471E0
9.248011250E-1,-1.974394226E-1,-3.400179291E0,-2.845432892E0,4.438095298E0
9.347611250E-1,-1.375639343E-1,-3.559597778E0,-2.382595367E0,4.285606242E0
9.447201250E-1,-3.095562744E-1,-3.689677277E0,-2.463576965E0,4.447331217E0
9.546791250E-1,-6.881190491E-1,-3.821852417E0,-2.007924500E0,4.371707277E0
9.646381250E-1,-1.500928802E0,-3.988905029E0,-1.165476379E0,4.418425714E0
9.745971250E-1,-2.177222443E0,-3.698209534E0,-9.445358276E-1,4.394223395E0
9.845561250E-1,-2.019899597E0,-2.841540985E0,-5.304968262E-1,3.526439626E0
