"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.218666661E-3,-2.193688202E0,7.797285461E0,5.691165161E0,9.899459045E0
7.740333327E-3,-2.161954193E0,7.599097595E0,5.742807770E0,9.767301125E0
1.769933332E-2,-2.006577301E0,7.481292572E0,5.850583649E0,9.706977905E0
2.765833330E-2,-1.885778503E0,7.431895294E0,5.852230225E0,9.645611791E0
3.761733335E-2,-1.866618347E0,7.432643738E0,5.819149017E0,9.622419253E0
4.757633334E-2,-1.807191925E0,7.522157593E0,5.815556488E0,9.678300200E0
5.753533333E-2,-1.788929901E0,7.655230865E0,5.876928864E0,9.815351377E0
6.749433331E-2,-1.828447723E0,7.768994293E0,5.954916687E0,9.957988058E0
7.745333330E-2,-1.836381226E0,7.896978149E0,5.917943573E0,1.003775951E1
8.741233335E-2,-1.927841034E0,7.990234222E0,5.943540344E0,1.014327786E1
9.737133334E-2,-1.951342163E0,7.980354767E0,6.099815369E0,1.023237734E1
1.073293333E-1,-1.892813873E0,7.893235931E0,6.252946930E0,1.024623166E1
1.172883333E-1,-1.734742584E0,7.735014954E0,6.120771790E0,1.001517027E1
1.272473334E-1,-1.440753937E0,7.448061676E0,5.439538422E0,9.334772246E0
1.372063333E-1,-1.257684631E0,7.333100739E0,5.059478760E0,8.997469777E0
1.471653333E-1,-1.322499847E0,7.348818054E0,5.169949036E0,9.081987980E0
1.571243333E-1,-1.428629150E0,7.311246185E0,5.450465698E0,9.230540524E0
1.670833333E-1,-1.455872498E0,7.363337860E0,5.747448120E0,9.453648453E0
1.770423334E-1,-1.450483704E0,7.468868408E0,5.989195404E0,9.682890057E0
1.870013333E-1,-1.477277985E0,7.509733429E0,6.076763306E0,9.772691476E0
1.969603333E-1,-1.615590363E0,7.560178528E0,6.098168793E0,9.846527013E0
2.069193333E-1,-1.878593445E0,7.636070709E0,6.231840820E0,1.003366978E1
2.168783333E-1,-2.086211700E0,7.647447052E0,6.522386627E0,1.026534232E1
2.268373333E-1,-2.228116608E0,7.683971100E0,6.733447723E0,1.045692277E1
2.367963333E-1,-2.246378632E0,7.793692932E0,6.845714264E0,1.061374911E1
2.467543333E-1,-2.261347504E0,7.930059357E0,6.811734924E0,1.069575928E1
2.567133333E-1,-2.864143982E0,8.065976715E0,6.556964722E0,1.078225800E1
2.666723334E-1,-3.811972961E0,8.412805481E0,6.527176666E0,1.130975106E1
2.766313333E-1,-3.577859802E0,8.842112732E0,5.856271820E0,1.119285299E1
2.865903333E-1,-4.534819794E0,8.876092072E0,4.134252777E0,1.079081309E1
