"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.451833327E-3,-1.973645782E0,6.829248505E0,6.367608490E0,9.543602606E0
6.507166661E-3,-1.907183990E0,6.811136169E0,6.425088959E0,9.555662971E0
1.646616671E-2,-1.970801697E0,6.799610138E0,6.396498413E0,9.541171275E0
2.642516670E-2,-1.982776794E0,6.754404144E0,6.441255341E0,9.541653396E0
3.638416668E-2,-1.970202942E0,6.690786438E0,6.499334564E0,9.533607532E0
4.634316667E-2,-1.922751617E0,6.677164764E0,6.538553009E0,9.541183287E0
5.630216666E-2,-1.941911774E0,6.740183716E0,6.535259857E0,9.587007837E0
6.626116671E-2,-2.028431854E0,6.777605896E0,6.461014252E0,9.580980254E0
7.622116670E-2,-2.140698395E0,6.813980255E0,6.488556976E0,9.649574507E0
8.618016669E-2,-2.202519836E0,6.856791229E0,6.605463867E0,9.772350408E0
9.613916668E-2,-2.126777344E0,6.863527222E0,6.675218811E0,9.807636513E0
1.060981667E-1,-1.983974304E0,6.817123718E0,6.752607880E0,9.798318376E0
1.160564167E-1,-1.750609589E0,6.718329163E0,6.737489319E0,9.674416933E0
1.260154167E-1,-1.585951996E0,6.537654877E0,6.642886047E0,9.454317006E0
1.359744167E-1,-1.487756195E0,6.528823242E0,6.451883240E0,9.298696079E0
1.459344167E-1,-1.584155731E0,6.674320679E0,6.257138214E0,9.284820113E0
1.558934167E-1,-1.730401611E0,6.681655426E0,6.227948914E0,9.296566928E0
1.658524167E-1,-2.011067963E0,6.714287567E0,6.219566345E0,9.370648719E0
1.758114167E-1,-2.379601593E0,6.741530914E0,6.484066315E0,9.651624671E0
1.857704167E-1,-2.250869293E0,6.761738892E0,6.699917450E0,9.781432372E0
1.957294167E-1,-1.762884064E0,6.852749634E0,6.711144104E0,9.752301931E0
2.056884167E-1,-1.566193085E0,6.731651459E0,6.629264374E0,9.576807311E0
2.156474167E-1,-1.572030945E0,6.615792389E0,6.440806274E0,9.366107820E0
2.256074167E-1,-1.692680054E0,6.619684296E0,6.188131714E0,9.218370791E0
2.355664167E-1,-1.968855743E0,6.557264099E0,6.281986542E0,9.291795322E0
2.455254167E-1,-2.236050110E0,6.654262390E0,6.466403046E0,9.544291299E0
2.554844167E-1,-2.373763733E0,6.867868195E0,6.423741760E0,9.698805390E0
2.654434167E-1,-2.389181671E0,7.047494659E0,6.285429382E0,9.740738809E0
2.754024167E-1,-2.237397308E0,7.132667542E0,6.141877899E0,9.674893131E0
2.853614167E-1,-2.051334229E0,7.080276489E0,6.087840271E0,9.560339243E0
2.953214167E-1,-1.976489868E0,6.953789520E0,6.252797241E0,9.558199319E0
3.052804167E-1,-2.230361938E0,6.798412628E0,6.648574219E0,9.767111537E0
3.152394167E-1,-3.041076050E0,6.599476318E0,7.711813202E0,1.059590931E1
3.251984167E-1,-2.577789459E0,6.519841919E0,7.942782898E0,1.059439179E1
3.351574167E-1,-2.400108948E0,6.620133362E0,7.862549744E0,1.055492194E1
3.451164167E-1,-2.680026855E0,6.827751617E0,7.909402313E0,1.078700056E1
3.550754167E-1,-2.656974792E0,6.996450806E0,7.709717560E0,1.074474680E1
3.650354167E-1,-2.486030273E0,7.141050110E0,7.388934631E0,1.057219458E1
3.749944167E-1,-2.016905823E0,7.318281555E0,7.235503693E0,1.048702378E1
3.849534167E-1,-1.904639282E0,7.687863007E0,7.056326294E0,1.060766841E1
3.949124167E-1,-1.923050995E0,7.698640594E0,6.888674927E0,1.050814134E1
4.048714167E-1,-2.340383148E0,7.566764832E0,6.645730133E0,1.033919979E1
4.148304167E-1,-2.415077820E0,7.456743622E0,6.216273193E0,1.000388318E1
4.247894167E-1,-2.065854034E0,7.188202057E0,5.891748047E0,9.521065946E0
4.347484167E-1,-1.735491028E0,7.018754425E0,5.800138550E0,9.269112686E0
4.447084167E-1,-1.679208069E0,7.087311859E0,5.676196289E0,9.234117903E0
4.546674167E-1,-1.710942078E0,7.181466064E0,5.527555389E0,9.222507588E0
4.646264167E-1,-1.726509705E0,7.372468872E0,5.428012390E0,9.316514989E0
4.745854167E-1,-1.665287018E0,7.635022888E0,5.385949860E0,9.490796133E0
4.845444167E-1,-1.646276550E0,7.871381378E0,5.149142303E0,9.548954798E0
4.945034167E-1,-1.918859711E0,7.946824493E0,4.795128479E0,9.477726481E0
5.044624167E-1,-1.922452240E0,7.946375427E0,4.764142914E0,9.462439577E0
5.144224167E-1,-1.836231537E0,7.883506165E0,4.757706299E0,9.389205767E0
5.243814167E-1,-2.018103333E0,7.781268768E0,4.911286926E0,9.420277277E0
5.343404167E-1,-2.068249054E0,7.730374603E0,5.354066162E0,9.628207005E0
5.442994167E-1,-2.148332520E0,7.741601257E0,5.566175079E0,9.773946371E0
5.542584167E-1,-2.359243927E0,7.741301880E0,5.752387848E0,9.928935122E0
5.642174167E-1,-2.686014404E0,7.616760864E0,6.000871124E0,1.006181761E1
5.741764167E-1,-3.217858429E0,7.426656189E0,6.162834320E0,1.017302128E1
5.841364167E-1,-3.482358398E0,7.275919647E0,6.444847870E0,1.032481917E1
5.940954167E-1,-3.381917267E0,7.225624237E0,6.984475708E0,1.060329717E1
6.040544167E-1,-3.124003601E0,7.181316376E0,7.148833923E0,1.060360928E1
6.140134167E-1,-2.794688416E0,6.969057770E0,7.039261780E0,1.029219393E1
6.239724167E-1,-2.405198364E0,6.726861420E0,6.869365082E0,9.910793125E0
6.339314167E-1,-1.980980530E0,6.441704407E0,6.641838226E0,9.462233063E0
6.438904167E-1,-1.661245422E0,6.297105103E0,6.446793823E0,9.163755760E0
6.538494167E-1,-1.447938995E0,6.484964447E0,6.372099152E0,9.206244555E0
6.638094167E-1,-1.514550476E0,6.764582977E0,6.338568878E0,9.393130544E0
6.737684167E-1,-1.774260406E0,7.184459839E0,6.274502106E0,9.702259522E0
6.837274167E-1,-2.331850891E0,7.631280670E0,6.393654327E0,1.022510581E1
6.936864167E-1,-3.663930817E0,7.674690399E0,6.461014252E0,1.068035425E1
7.036454167E-1,-3.677702179E0,7.871980133E0,6.579118652E0,1.089854884E1
7.136044167E-1,-3.004701691E0,8.522227936E0,6.560856628E0,1.116697994E1
7.235634167E-1,-3.249442749E0,8.966054993E0,6.383625183E0,1.147604857E1
7.335234167E-1,-3.743415527E0,9.510772247E0,6.324198761E0,1.201929443E1
7.434824167E-1,-3.586841125E0,1.025577301E1,7.009922791E0,1.293001651E1
7.534414167E-1,-3.096011810E0,1.086111420E1,7.411986694E0,1.350876151E1
7.634004167E-1,-1.239721985E0,1.211400879E1,8.808283081E0,1.502903757E1
7.733594167E-1,1.135388947E0,1.392973297E1,1.003004242E1,1.720256724E1
7.833184167E-1,1.427431641E0,1.482861374E1,1.098520615E1,1.850945976E1
7.932774167E-1,9.454339600E-1,1.528935562E1,1.269270538E1,1.989379327E1
8.032374167E-1,-6.092330933E-2,1.579605194E1,1.385833145E1,2.101362223E1
8.131964167E-1,-1.248852997E0,1.585772369E1,1.384051849E1,2.108523148E1
8.231554167E-1,-1.725312195E0,1.550939804E1,1.297367111E1,2.029370030E1
8.331144167E-1,-1.794468384E0,1.522424103E1,1.206850342E1,1.951016162E1
8.430734167E-1,-2.020198975E0,1.499057693E1,1.180310532E1,1.918624236E1
8.530324167E-1,-2.167941742E0,1.480616043E1,1.226504471E1,1.934822162E1
8.629914167E-1,-2.158661041E0,1.478834747E1,1.266261795E1,1.958818347E1
8.729514167E-1,-1.708696747E0,1.468281693E1,1.206012085E1,1.907750697E1
8.829104167E-1,-8.439450073E-1,1.419303543E1,1.093116852E1,1.793446244E1
8.928694167E-1,-5.589376831E-1,1.339025482E1,1.004800507E1,1.675033556E1
9.028284167E-1,-7.442523193E-1,1.227432541E1,9.309291229E0,1.542322531E1
9.127874167E-1,-1.168320465E0,1.090617050E1,8.969647522E0,1.416912504E1
9.227464167E-1,-1.936972046E0,9.095386047E0,8.640032959E0,1.269362350E1
9.327054167E-1,-2.509681091E0,7.729476471E0,7.141798553E0,1.081889977E1
9.426654167E-1,-2.967429199E0,6.509064331E0,6.130202179E0,9.420877521E0
9.526244167E-1,-3.322191467E0,5.321434021E0,5.474415894E0,8.326094256E0
9.625834167E-1,-3.508703613E0,4.319567413E0,4.772525482E0,7.331211575E0
9.725424167E-1,-3.485950928E0,3.556154938E0,3.813170471E0,6.272030043E0
9.825014167E-1,-3.213068390E0,2.996917877E0,2.905308380E0,5.267460681E0
9.924604167E-1,-2.956950989E0,2.266586609E0,2.195933533E0,4.324707861E0
1.002419417E0,-2.998265076E0,1.504820709E0,1.540596313E0,3.691546537E0
1.012378417E0,-3.163970490E0,8.607101440E-1,7.444020081E-1,3.362389858E0
1.022338417E0,-3.410657501E0,1.381626892E-1,-1.422042847E-1,3.416415604E0
1.032297417E0,-3.441942444E0,-9.889933777E-1,-8.934919739E-1,3.690989514E0
1.042256417E0,-3.162772980E0,-1.515149231E0,-1.678010559E0,3.887740931E0
1.052215417E0,-2.923271027E0,-1.420845337E0,-2.585124207E0,4.152972686E0
1.062174417E0,-2.661315765E0,-1.315464478E0,-3.174598389E0,4.346391989E0
1.072133417E0,-2.567311249E0,-1.349443817E0,-3.742218018E0,4.734583546E0
1.082092417E0,-2.666554871E0,-1.451830902E0,-4.159400482E0,5.149654378E0
1.092052417E0,-2.690505066E0,-1.578766937E0,-3.965852966E0,5.045722178E0
1.102011417E0,-2.474803619E0,-1.695673828E0,-3.128194885E0,4.334231873E0
1.111970417E0,-2.334694977E0,-1.730102234E0,-2.656825104E0,3.937356220E0
1.121929458E0,-2.071242828E0,-1.669328613E0,-2.681673431E0,3.777310851E0
1.131888458E0,-1.679357758E0,-1.538650360E0,-2.998863831E0,3.765749817E0
1.141847458E0,-1.200802917E0,-1.687590637E0,-3.093916168E0,3.723198499E0
1.151806458E0,-1.013392639E0,-1.954036560E0,-2.657573547E0,3.450785516E0
1.161766458E0,-1.070124664E0,-1.980531464E0,-2.103874969E0,3.081227282E0
1.171725458E0,-1.215472412E0,-1.679357758E0,-1.392703857E0,2.497446635E0
1.181684458E0,-1.600771179E0,-1.154549103E0,-7.203021240E-1,2.101020502E0
1.191643458E0,-1.766775970E0,-5.881269836E-1,-1.731898499E-1,1.870129782E0
1.201602458E0,-1.647174683E0,1.151106262E-1,5.342390442E-1,1.735467155E0
1.211561458E0,-1.094224548E0,8.336164856E-1,1.335223389E0,1.917045984E0
1.221520458E0,-8.409512329E-1,1.410965881E0,1.861977997E0,2.482938935E0
1.231480458E0,-9.556127930E-1,1.860032043E0,2.177671509E0,3.019133686E0
1.241439458E0,-1.343605957E0,2.294279022E0,2.758463745E0,3.831202870E0
1.251398458E0,-1.834884338E0,3.026107178E0,2.793640594E0,4.508719658E0
1.261357458E0,-1.791324921E0,4.286635895E0,2.628983002E0,5.338131123E0
1.271316458E0,-1.697170715E0,5.919889526E0,3.015179901E0,6.856879048E0
1.281275458E0,-1.849254456E0,7.665559387E0,3.727847900E0,8.722235535E0
1.291234458E0,-1.950593719E0,9.403744812E0,4.674030304E0,1.068090781E1
1.301193458E0,-2.134112091E0,1.122605530E1,5.461093597E0,1.266500277E1
1.311153458E0,-2.176473999E0,1.323742264E1,5.899681549E0,1.465512332E1
1.321112458E0,-1.800006866E0,1.533695663E1,5.990692291E0,1.656353397E1
1.331071458E0,-1.344204712E0,1.742421616E1,6.402935028E0,1.861203299E1
1.341030458E0,-8.026309204E-1,1.916509598E1,6.775210876E0,2.034326922E1
1.350989458E0,-1.037342834E-1,2.064551743E1,7.175777893E0,2.185726284E1
1.360948458E0,2.206411743E-1,2.212578918E1,7.664062500E0,2.341659846E1
1.370907458E0,-9.699829102E-2,2.362477203E1,8.257578278E0,2.502652316E1
1.380867458E0,-5.198689270E-1,2.500714737E1,9.376501465E0,2.671229049E1
1.390826458E0,-5.896238708E-1,2.636093216E1,1.064421524E1,2.843493835E1
1.400785458E0,-5.423222351E-1,2.760514481E1,1.123877884E1,2.981020434E1
1.410744458E0,-5.893244934E-1,2.847648285E1,1.151884644E1,3.072362612E1
1.420703458E0,-7.734416199E-1,2.859428787E1,1.192225754E1,3.098986505E1
1.430662458E0,-1.013542328E0,2.795421890E1,1.194381271E1,3.041579005E1
1.440622458E0,-1.125659180E0,2.684682175E1,1.185115540E1,2.936781965E1
1.450581458E0,-7.905061340E-1,2.574885498E1,1.196985855E1,2.840608995E1
1.460540458E0,-4.303550720E-1,2.464475098E1,1.167586990E1,2.727407000E1
