"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.208332833E-4,-9.590556335E-1,7.981701965E0,5.213508453E0,9.581650399E0
9.838166705E-3,-9.595046997E-1,8.029302979E0,5.138065338E0,9.580713492E0
1.979716669E-2,-9.677375793E-1,8.010741577E0,5.063520355E0,9.526160561E0
2.975616668E-2,-9.741741943E-1,7.963889008E0,5.047503662E0,9.478915376E0
3.971516667E-2,-9.114546204E-1,7.963889008E0,5.040617981E0,9.469007724E0
4.967416672E-2,-8.583151245E-1,7.939938812E0,5.006788330E0,9.425882589E0
5.963316670E-2,-9.442364502E-1,7.836653595E0,5.072651367E0,9.382777517E0
6.959216669E-2,-1.164578247E0,7.754773865E0,5.205125885E0,9.412018682E0
7.955116668E-2,-1.273701324E0,7.697592773E0,5.217400360E0,9.385974435E0
8.951016667E-2,-1.085991669E0,7.675887909E0,5.283862152E0,9.381781938E0
9.946916671E-2,-6.732998657E-1,7.752079468E0,5.252128143E0,9.387913443E0
1.094281667E-1,-4.760101318E-1,7.689659271E0,5.185366974E0,9.286844244E0
1.193871667E-1,-4.713697815E-1,7.489076385E0,5.274282074E0,9.172050260E0
1.293461667E-1,-5.300477600E-1,7.204518127E0,5.277275848E0,8.946265839E0
1.393051667E-1,-8.289761353E-1,7.000791779E0,5.472619629E0,8.924564559E0
1.492641667E-1,-1.127605133E0,6.819967804E0,5.813011780E0,9.031863603E0
1.592231667E-1,-1.057850189E0,6.779102783E0,6.022725677E0,9.129540304E0
1.691821667E-1,-7.737409973E-1,6.812183990E0,6.225553894E0,9.260780050E0
1.791411667E-1,-6.203100586E-1,6.684050446E0,6.565946045E0,9.390045921E0
1.891001667E-1,-4.008663940E-1,6.513105927E0,6.836433563E0,9.450823591E0
1.990591667E-1,-1.297801208E-1,6.487060089E0,6.935677185E0,9.497494906E0
2.090181667E-1,-5.763015747E-2,6.397246857E0,6.952442322E0,9.447991470E0
2.189771667E-1,-2.290237427E-2,6.208639069E0,6.847660217E0,9.243277236E0
2.289361667E-1,5.179229736E-2,6.070626068E0,6.748117218E0,9.077018745E0
2.388951667E-1,2.203417969E-1,5.983956299E0,6.816824341E0,9.073333323E0
2.488541667E-1,2.125579834E-1,5.847290497E0,6.902745667E0,9.048971477E0
2.588131667E-1,5.658233643E-2,5.655539246E0,6.954388275E0,8.963918897E0
2.687711667E-1,7.304809570E-2,5.416037292E0,6.924450531E0,8.791291778E0
2.787301667E-1,-2.170486450E-2,5.212161255E0,6.998995514E0,8.726570589E0
2.886891667E-1,-2.040257263E-1,5.001848602E0,7.194339294E0,8.764623998E0
2.986481667E-1,-2.921923828E-1,4.882846069E0,7.354655914E0,8.832809618E0
3.086071667E-1,-3.558100891E-1,4.845423889E0,7.516319733E0,8.949848927E0
3.185661667E-1,-4.935237122E-1,4.767286377E0,7.948471069E0,9.281636569E0
3.285251667E-1,-7.738906860E-1,4.419260101E0,8.390352173E0,9.514556018E0
3.384841667E-1,-1.044527893E0,4.101321259E0,8.493038635E0,9.489129562E0
3.484431667E-1,-1.619931335E0,3.950135651E0,8.460107117E0,9.476347483E0
3.584021667E-1,-2.370021515E0,3.832779694E0,8.331075439E0,9.471748526E0
3.683611667E-1,-3.225193176E0,3.669020233E0,8.043673096E0,9.410858482E0
3.783201667E-1,-2.939437408E0,3.796255646E0,7.777526550E0,9.140118623E0
3.882791667E-1,-2.551593933E0,3.894750824E0,7.671846313E0,8.974237652E0
3.982381667E-1,-2.732717285E0,4.249363403E0,7.635621643E0,9.155738691E0
4.081971667E-1,-3.313509521E0,4.750970306E0,8.092920685E0,9.952207263E0
4.181561667E-1,-4.259093170E0,5.352120209E0,8.740773468E0,1.109892725E1
4.281151667E-1,-4.627776489E0,5.637875977E0,9.545949097E0,1.201362164E1
4.380741667E-1,-4.236041107E0,5.576503601E0,1.054078033E1,1.265501824E1
4.480331667E-1,-3.998036041E0,5.084925842E0,1.137739059E1,1.308761933E1
4.579921667E-1,-4.173321533E0,4.323908386E0,1.155566986E1,1.302483406E1
4.679511667E-1,-4.547992401E0,3.548071747E0,1.099194214E1,1.241353455E1
4.779101667E-1,-4.889282684E0,3.453917542E0,9.722282410E0,1.141741682E1
4.878691667E-1,-5.066514130E0,3.963757324E0,9.542506256E0,1.150827368E1
4.978281667E-1,-5.516029358E0,4.567601624E0,9.304800568E0,1.174175788E1
5.077871667E-1,-5.250331879E0,4.901706848E0,8.929381256E0,1.145978030E1
5.177461667E-1,-4.453987885E0,4.918771362E0,8.842112732E0,1.105510187E1
5.277051667E-1,-4.243375854E0,5.069507904E0,9.000932465E0,1.116794226E1
5.376641667E-1,-4.539310455E0,5.370980988E0,9.057814178E0,1.146720427E1
5.476231667E-1,-4.563859406E0,5.482199707E0,8.614436188E0,1.118444621E1
5.575821667E-1,-4.425696716E0,5.520220642E0,8.239016876E0,1.086006567E1
5.675411667E-1,-4.428540802E0,5.674549713E0,8.236472168E0,1.093855392E1
5.775001667E-1,-4.405788116E0,5.713768158E0,8.491092682E0,1.114256570E1
5.874591667E-1,-4.423601074E0,5.457201691E0,8.961714020E0,1.138690541E1
5.974181667E-1,-4.337380371E0,5.019960938E0,9.195378113E0,1.133877661E1
6.073761667E-1,-4.212839355E0,5.090314636E0,8.955876160E0,1.112955688E1
6.173351667E-1,-4.621190186E0,5.782624969E0,8.824449463E0,1.151803189E1
6.272941667E-1,-5.316643982E0,6.425987091E0,8.951235809E0,1.223456725E1
6.372531667E-1,-5.738766174E0,6.636599121E0,8.627309418E0,1.230481015E1
6.472121667E-1,-5.163213043E0,6.856491852E0,8.354127502E0,1.197754966E1
6.571711667E-1,-4.003873901E0,6.808741150E0,8.403225403E0,1.153274293E1
6.671301667E-1,-3.709286499E0,6.452332306E0,8.030949554E0,1.094931730E1
6.770891667E-1,-3.386557617E0,5.639522552E0,7.817942505E0,1.021729965E1
6.870483750E-1,-6.227050781E-1,5.773943024E0,8.544531555E0,1.033127287E1
6.970073750E-1,2.252815247E0,7.263196106E0,1.060918808E1,1.305312476E1
7.069663750E-1,2.199526062E0,8.473728790E0,1.156420212E1,1.450423266E1
7.169253750E-1,6.213578796E-1,9.126371613E0,1.208826233E1,1.515924901E1
7.268843750E-1,-5.016069031E-1,9.181307373E0,1.412193329E1,1.685161756E1
7.368433750E-1,-1.301842804E0,9.024583282E0,1.567884567E1,1.813736750E1
7.468023750E-1,-2.257006531E0,8.380772095E0,1.582973190E1,1.805302832E1
7.567613750E-1,-2.271676025E0,8.027656403E0,1.529654068E1,1.742377502E1
7.667203750E-1,-2.202370148E0,7.476652222E0,1.417447403E1,1.617610821E1
7.766793750E-1,-1.898502045E0,7.006479950E0,1.322918976E1,1.508994808E1
7.866383750E-1,-1.087189178E0,6.663842468E0,1.283670593E1,1.450413031E1
7.965973750E-1,1.930984497E-2,6.469097443E0,1.296304321E1,1.448758379E1
