"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.219208352E-3,-1.686393127E0,4.480333099E0,8.456065521E0,9.717116371E0
8.739791636E-3,-1.695673828E0,4.530778198E0,8.566685486E0,9.838260061E0
1.869879162E-2,-1.792672119E0,4.502786407E0,8.607400818E0,9.878061935E0
2.865779167E-2,-1.722168732E0,4.426594849E0,8.655899963E0,9.873459944E0
3.861679166E-2,-1.511257324E0,4.369114380E0,8.645122375E0,9.803631983E0
4.857479164E-2,-1.160536652E0,4.206851807E0,8.665629730E0,9.702452580E0
5.853379163E-2,-7.957452393E-1,4.112697601E0,8.567284241E0,9.536553429E0
6.849279167E-2,-8.583151245E-1,4.333189087E0,8.455766144E0,9.540084570E0
7.845179166E-2,-6.304888916E-1,4.690346375E0,8.390801239E0,9.633400790E0
8.841104165E-2,-2.844085693E-3,4.855303345E0,8.318950653E0,9.632181405E0
9.837004164E-2,5.613327026E-2,4.930896149E0,8.265212402E0,9.624480445E0
1.083290416E-1,-5.191204834E-1,4.935835876E0,8.147257690E0,9.539904074E0
1.182870417E-1,-1.667831726E0,4.853058014E0,7.981552277E0,9.488888844E0
1.282460417E-1,-2.630330200E0,4.497247925E0,7.757318573E0,9.344510009E0
1.382050416E-1,-2.107168121E0,3.969894562E0,7.512577515E0,8.754372692E0
1.481640416E-1,-5.899232483E-1,3.744163971E0,7.724836121E0,8.604642141E0
1.581230416E-1,2.649490356E-2,3.698658600E0,8.681197357E0,9.436310983E0
1.680820417E-1,-7.559280396E-1,3.618275757E0,9.785750427E0,1.046060505E1
1.780410417E-1,-1.271755371E0,3.644171906E0,1.020442978E1,1.090998340E1
1.880000416E-1,-1.059796143E0,3.838318176E0,1.001836670E1,1.078070154E1
1.979580416E-1,-6.468049622E-1,3.852538605E0,9.580227814E0,1.034607053E1
2.079170417E-1,-1.604663086E-1,3.842958527E0,9.073082428E0,9.854689463E0
2.178760417E-1,-2.279759216E-1,3.834276581E0,9.405541077E0,1.015961874E1
2.278350416E-1,-1.606010284E0,3.635789337E0,1.073073532E1,1.144320382E1
2.377940416E-1,-2.151625671E0,3.487298126E0,1.217687805E1,1.284784419E1
2.477530416E-1,-1.882784729E0,3.430715790E0,1.290975403E1,1.348986428E1
2.577120417E-1,-2.301913147E0,3.688330078E0,1.266336639E1,1.338892943E1
2.676710417E-1,-2.051334229E0,4.086502075E0,1.172616531E1,1.258612030E1
2.776290416E-1,-1.832189941E0,4.484674072E0,1.061352905E1,1.166688564E1
2.875880416E-1,-2.073787537E0,4.938380585E0,1.015084122E1,1.147727210E1
2.975470417E-1,-2.864143982E0,4.976251831E0,1.021625519E1,1.171914131E1
3.075060417E-1,-3.849095764E0,4.729564819E0,9.835447083E0,1.157239564E1
3.174650416E-1,-4.902305603E0,4.726870422E0,5.079986115E0,8.496008659E0
3.274240416E-1,-3.941154327E0,4.875062256E0,5.870342560E0,8.588355559E0
3.373830416E-1,-3.675606537E0,5.061275024E0,1.004875351E1,1.183655505E1
3.473420417E-1,-3.842210083E0,5.457052002E0,1.173469757E1,1.349981933E1
3.573000417E-1,-3.176095276E0,5.963898010E0,1.138951538E1,1.324298763E1
3.672590416E-1,-2.147434387E0,6.872209167E0,1.068957092E1,1.288819847E1
3.772180416E-1,-1.848655701E0,7.868836670E0,1.087952591E1,1.355360478E1
3.871770417E-1,-1.479523315E0,8.428822174E0,1.149384842E1,1.432977962E1
3.971360417E-1,-1.547781372E-1,8.908574524E0,1.198542618E1,1.493442657E1
4.070950416E-1,6.234535217E-1,9.658814392E0,1.214319809E1,1.552863966E1
4.170540416E-1,8.125103760E-1,1.091784622E1,1.236279144E1,1.651357476E1
4.270130416E-1,1.138233032E0,1.165910477E1,1.226998444E1,1.696416271E1
4.369710417E-1,1.258582764E0,1.227372665E1,1.212598389E1,1.729936073E1
4.469300417E-1,1.427880707E0,1.274614426E1,1.214918564E1,1.766651489E1
4.568890416E-1,1.651815033E0,1.296798294E1,1.231653763E1,1.796090681E1
4.668480416E-1,1.796713715E0,1.301079391E1,1.335477859E1,1.873123193E1
4.768070417E-1,1.602417755E0,1.295885193E1,1.419647827E1,1.928832759E1
4.867660417E-1,1.354233856E0,1.294343399E1,1.456171875E1,1.952972314E1
4.967250417E-1,1.320553894E0,1.251173172E1,1.416818710E1,1.894795026E1
5.066840416E-1,1.017883301E0,1.201386703E1,1.311138474E1,1.781228501E1
5.166420416E-1,9.066645813E-1,1.160207336E1,1.190698929E1,1.664952074E1
5.266010417E-1,1.154549103E0,1.150193161E1,1.111932724E1,1.603954029E1
5.365600417E-1,1.625170441E0,1.143172760E1,1.077908478E1,1.579601986E1
5.465190416E-1,1.732796631E0,1.117216736E1,1.069481003E1,1.556273977E1
5.564780416E-1,1.300196228E0,1.079689774E1,1.074600357E1,1.528856120E1
5.664370416E-1,1.056802368E0,1.026340714E1,1.044782364E1,1.468371125E1
5.763960417E-1,9.818083191E-1,9.893675995E0,9.758207703E0,1.393095079E1
5.863550417E-1,9.656419373E-1,9.633666687E0,9.076974335E0,1.327145287E1
5.963130416E-1,1.175056458E0,9.383387146E0,8.464897156E0,1.269185549E1
6.062720416E-1,1.419198761E0,9.129215698E0,8.047415314E0,1.225224868E1
6.162310417E-1,1.155297546E0,8.677006073E0,8.032147064E0,1.188025813E1
6.261900417E-1,3.411405945E-1,8.096064148E0,8.138575745E0,1.148473103E1
6.361490416E-1,-5.040019226E-1,7.547005920E0,7.989336090E0,1.100185473E1
6.461080416E-1,-9.648934937E-1,6.843169556E0,7.779622192E0,1.040588826E1
6.560670416E-1,-8.991801453E-1,6.206992493E0,7.176676025E0,9.530999922E0
6.660260417E-1,-6.765930176E-1,6.007158051E0,6.162534943E0,8.632529344E0
6.759840416E-1,-3.870950317E-1,5.817352753E0,5.256020050E0,7.849661291E0
6.859430416E-1,-2.586621094E-1,5.600902863E0,4.641098785E0,7.278517493E0
6.959020416E-1,-2.213896179E-1,5.285359039E0,4.085005188E0,6.683659246E0
7.058610417E-1,-1.751358032E-2,4.909790039E0,3.587439880E0,6.080795166E0
7.158200417E-1,4.619393921E-1,4.472549286E0,2.942580872E0,5.373627016E0
7.257790416E-1,6.649172974E-1,4.048032074E0,2.011067963E0,4.568705838E0
7.357380416E-1,5.821394348E-1,3.772754517E0,1.134191437E0,3.982330119E0
7.456970416E-1,3.050656128E-1,3.384162598E0,3.367996216E-1,3.414535913E0
7.556550417E-1,-1.691482544E-2,2.870131531E0,-2.674937439E-1,2.882619298E0
7.656140417E-1,-7.119195557E-1,2.346969452E0,-6.092330933E-1,2.527105068E0
7.755730416E-1,-1.171463928E0,1.769620056E0,-7.598199463E-1,2.254153772E0
7.855320416E-1,-1.319955139E0,1.438209229E0,-8.734336853E-1,2.138600888E0
7.954910417E-1,-9.633966064E-1,1.307530975E0,-1.001866608E0,1.908273296E0
8.054500417E-1,-5.966592407E-1,1.363813934E0,-1.121318207E0,1.863691288E0
8.154090417E-1,-2.823129272E-1,1.398691406E0,-1.114582214E0,1.810616401E0
8.253680416E-1,2.414479065E-1,1.434916077E0,-1.127156067E0,1.840587416E0
8.353270416E-1,8.711883545E-1,1.415306854E0,-1.494192810E0,2.234876908E0
8.452850417E-1,8.074209595E-1,1.366358643E0,-2.203417969E0,2.715495404E0
8.552440417E-1,4.173321533E-1,1.136287079E0,-2.812201996E0,3.061665318E0
8.652030416E-1,1.083746338E-1,5.284011841E-1,-2.893482971E0,2.943330864E0
8.751620416E-1,-2.586621094E-1,-2.002835083E-1,-2.768941956E0,2.788199979E0
8.851210417E-1,-4.192781067E-1,-4.700225830E-1,-2.893033905E0,2.960804035E0
8.950800417E-1,-4.273612976E-1,-5.620811462E-1,-3.319646759E0,3.393910355E0
9.050390417E-1,-3.073109436E-1,-7.984396362E-1,-4.077221375E0,4.166014883E0
9.149980416E-1,1.270857239E-1,-7.869136047E-1,-4.417763214E0,4.489099645E0
9.249560416E-1,-3.757186890E-2,-7.111711121E-1,-3.867657166E0,3.932676944E0
9.349150417E-1,-1.826202393E-2,-5.394781494E-1,-3.155587921E0,3.201422388E0
9.448740417E-1,1.049317932E-1,-2.453398132E-1,-2.390828247E0,2.405672881E0
9.548330416E-1,-2.829116821E-2,5.179229736E-2,-1.840572510E0,1.841518394E0
9.647920416E-1,-2.224374390E-1,1.878593445E-1,-1.681154022E0,1.706179473E0
9.747510416E-1,-3.356021118E-1,1.206491089E-1,-1.869911499E0,1.903616032E0
9.847100417E-1,3.068618774E-2,5.239105225E-3,-2.012265472E0,2.012506254E0
9.946680416E-1,-5.493576050E-2,-2.537223816E-1,-1.312321014E0,1.337751632E0
1.004627042E0,-2.636018372E-1,4.035607910E-1,-4.162843323E-1,6.368986465E-1
1.014586042E0,1.483415222E-1,1.277293854E0,3.626957703E-1,1.336051278E0
1.024545042E0,3.951782227E-1,1.602567444E0,1.056502991E0,1.959741516E0
1.034504042E0,6.403683472E-1,1.654060364E0,1.201251984E0,2.142193650E0
1.044463042E0,9.259744263E-1,1.881287842E0,1.044527893E0,2.342586413E0
1.054422042E0,5.297483826E-1,2.444416809E0,1.704954529E0,3.026991383E0
1.064381042E0,2.842588806E-1,3.206482086E0,2.255210266E0,3.930433033E0
1.074339042E0,5.391787720E-1,3.777095490E0,2.113754425E0,4.361779666E0
1.084298042E0,7.882608032E-1,3.992796936E0,2.085612946E0,4.573135011E0
1.094256667E0,4.373904419E-1,4.536017303E0,2.242037659E0,5.078729786E0
1.104215667E0,8.294252014E-1,5.418881378E0,2.772833862E0,6.143356508E0
1.114174667E0,2.029329987E0,6.083050232E0,3.179837494E0,7.157726371E0
1.124133667E0,3.007545776E0,6.583759003E0,3.220852203E0,7.922443002E0
1.134092667E0,3.737727356E0,7.370373230E0,3.565435638E0,9.000296586E0
1.144051667E0,4.203558655E0,9.213041382E0,3.326233063E0,1.065898040E1
1.154010667E0,4.359833679E0,1.089973389E1,3.315156097E0,1.219846746E1
1.163968667E0,3.962110748E0,1.160611496E1,3.013233948E0,1.262853138E1
1.173927667E0,3.407663727E0,1.142154877E1,2.800675964E0,1.224368140E1
1.183886667E0,3.019969940E0,1.123668320E1,3.301384735E0,1.209472649E1
1.193845667E0,3.460354156E0,1.210278214E1,4.230352936E0,1.327958103E1
1.203804667E0,4.491110687E0,1.390174118E1,4.335883484E0,1.523904094E1
1.213763667E0,5.829178162E0,1.611638580E1,4.917723541E0,1.782978447E1
1.223722667E0,6.570885773E0,1.808194839E1,6.328240356E0,2.025290161E1
1.233681667E0,5.886059875E0,1.946537155E1,8.005053406E0,2.185468532E1
1.243639667E0,4.198469238E0,2.068443649E1,9.906698914E0,2.331556863E1
1.253598667E0,3.176544342E0,2.172986252E1,1.061158310E1,2.439022458E1
