"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.004625043E-3,-3.221301270E0,6.518345032E0,7.018754425E0,1.010586550E1
7.954374945E-3,-2.994373169E0,6.418502655E0,6.715185699E0,9.759977766E0
1.791337499E-2,-2.901117096E0,6.300847321E0,6.481371918E0,9.493436643E0
2.787237498E-2,-2.997816010E0,6.302194519E0,6.330785065E0,9.422494156E0
3.783137497E-2,-3.058140564E0,6.259383545E0,6.193071442E0,9.321278880E0
4.779037496E-2,-3.194357300E0,6.326593781E0,6.125861206E0,9.367811000E0
5.774937494E-2,-3.309467926E0,6.466253357E0,6.228397980E0,9.568591946E0
6.770937500E-2,-3.428919525E0,6.573280792E0,6.321504364E0,9.743045053E0
7.766837499E-2,-3.492986298E0,6.589746552E0,6.350244598E0,9.795474432E0
8.762737497E-2,-3.401227112E0,6.581513672E0,6.303990784E0,9.727536578E0
9.758637496E-2,-3.232976990E0,6.580166473E0,6.288123779E0,9.658738618E0
1.075453750E-1,-3.035986633E0,6.477629700E0,6.359225922E0,9.571658983E0
1.175043750E-1,-2.804567871E0,6.305337982E0,6.514902191E0,9.490355029E0
1.274633750E-1,-2.661615143E0,6.165229340E0,6.702611847E0,9.487847677E0
1.374223750E-1,-2.577340393E0,6.066135406E0,6.763984222E0,9.444160356E0
1.473813750E-1,-2.453547821E0,5.893394623E0,6.667285309E0,9.230638682E0
1.573403749E-1,-2.390977936E0,5.863307190E0,6.572083282E0,9.126194462E0
1.672993750E-1,-2.475851440E0,6.012247467E0,6.510710907E0,9.201430132E0
1.772583750E-1,-2.571502533E0,5.998925171E0,6.495442657E0,9.208175921E0
1.872173750E-1,-2.704575806E0,5.974825287E0,6.562203827E0,9.277703733E0
1.971773750E-1,-2.836900635E0,5.989943848E0,6.655010834E0,9.392369334E0
2.071363750E-1,-2.832409973E0,6.017037506E0,6.746171265E0,9.473020286E0
2.170953749E-1,-2.701582031E0,6.004164276E0,6.811285858E0,9.473233301E0
2.270543750E-1,-2.582429810E0,5.990243225E0,6.876699829E0,9.478447033E0
2.370133750E-1,-2.500849457E0,5.931116180E0,6.903494110E0,9.438782659E0
2.469723750E-1,-2.565065918E0,5.930218048E0,6.876999207E0,9.436109757E0
2.569313750E-1,-2.699486389E0,5.989195404E0,6.756948853E0,9.424120444E0
2.668903750E-1,-2.794389038E0,6.022276611E0,6.622229004E0,9.377118036E0
2.768493750E-1,-2.784659271E0,6.058351593E0,6.528374176E0,9.331539030E0
2.868083750E-1,-2.776725769E0,6.034102020E0,6.604116669E0,9.366693662E0
2.967673750E-1,-2.855162659E0,5.910159760E0,6.725214844E0,9.397364358E0
3.067263750E-1,-2.940335541E0,5.727240143E0,6.889423370E0,9.429263339E0
3.166853750E-1,-2.908302155E0,5.549260254E0,6.983876953E0,9.382273077E0
3.266453750E-1,-2.849324799E0,5.370082855E0,7.133266296E0,9.372295863E0
3.366043750E-1,-2.815495148E0,4.951553192E0,7.475454712E0,9.398261280E0
3.465633750E-1,-2.250270538E0,4.460274811E0,7.366780701E0,8.900967744E0
3.565223750E-1,-1.708097992E0,4.225562897E0,7.273824005E0,8.583792647E0
3.664813749E-1,-1.911974030E0,4.480931854E0,6.995852051E0,8.525041987E0
3.764403750E-1,-2.088457031E0,4.761448517E0,6.896907806E0,8.637151269E0
3.863993750E-1,-2.278711395E0,4.839286652E0,6.765780487E0,8.624790230E0
3.963583750E-1,-2.572700043E0,4.751718750E0,6.571484528E0,8.507762660E0
4.063173750E-1,-2.675536194E0,4.498295746E0,6.350543976E0,8.229372232E0
4.162763749E-1,-2.822231140E0,4.092789001E0,5.559289398E0,7.457989611E0
4.262353750E-1,-3.176694031E0,4.067790985E0,5.482948151E0,7.530008558E0
4.361943750E-1,-3.309318237E0,4.180656281E0,5.831273804E0,7.901470009E0
4.461533750E-1,-3.977828064E0,4.189338226E0,5.553451538E0,8.013394716E0
4.561133750E-1,-4.476141815E0,4.293222198E0,5.496120758E0,8.287034800E0
4.660722917E-1,-3.966451721E0,4.499193878E0,5.759872284E0,8.315744918E0
4.760312916E-1,-3.777993622E0,4.483326874E0,6.112538910E0,8.469745426E0
4.859902916E-1,-4.227957916E0,4.148922272E0,6.418352966E0,8.734096345E0
4.959492916E-1,-4.511019287E0,3.792962494E0,6.966063995E0,9.124796276E0
5.059082916E-1,-4.733007660E0,3.451821899E0,7.610024872E0,9.603588625E0
5.158672917E-1,-5.010380859E0,3.072660370E0,8.007747803E0,9.933236279E0
5.258262916E-1,-4.908293152E0,2.905907135E0,8.152796173E0,9.950061476E0
5.357852916E-1,-4.753515015E0,2.952460327E0,8.140372009E0,9.878187254E0
5.457442916E-1,-4.918921051E0,2.756966858E0,7.717800751E0,9.558300005E0
5.557032916E-1,-5.063969421E0,2.594105530E0,7.043752441E0,9.054701445E0
5.656622917E-1,-5.132077789E0,2.587968292E0,6.496191101E0,8.673886161E0
5.756212916E-1,-4.919968872E0,2.919079742E0,6.314768372E0,8.520764040E0
5.855802916E-1,-4.694088593E0,3.360511780E0,6.560856628E0,8.739127350E0
5.955402916E-1,-4.952750702E0,3.280128937E0,7.120393066E0,9.273024468E0
6.054992916E-1,-4.978197784E0,2.898871765E0,7.573800201E0,9.515690211E0
6.154582917E-1,-4.862787781E0,2.577041016E0,7.697742462E0,9.462720772E0
6.254172917E-1,-5.091961212E0,2.606978760E0,8.486003265E0,1.023409296E1
6.353762916E-1,-4.756658478E0,2.598446503E0,1.018646713E1,1.153871036E1
6.453352916E-1,-4.359234924E0,2.366728363E0,1.167182831E1,1.268210977E1
6.552942916E-1,-4.258344727E0,2.810854797E0,1.292472290E1,1.389542610E1
6.652532917E-1,-4.490362244E0,3.167413330E0,1.422985886E1,1.525400745E1
6.752122917E-1,-4.764891357E0,3.178939362E0,1.507260635E1,1.612430797E1
6.851712916E-1,-4.653522949E0,3.239413605E0,1.538291107E1,1.639460367E1
6.951302916E-1,-4.449796600E0,3.115621033E0,1.566746933E1,1.658244190E1
7.050892916E-1,-4.160897369E0,2.744393005E0,1.584110825E1,1.660678989E1
7.150482917E-1,-3.908671875E0,2.191742249E0,1.590173218E1,1.652109367E1
7.250072917E-1,-3.877835999E0,1.704355774E0,1.569665863E1,1.625815281E1
7.349662916E-1,-3.709136810E0,1.373543701E0,1.519280640E1,1.569922560E1
7.449262916E-1,-3.590283966E0,1.120869141E0,1.475257187E1,1.522448237E1
7.548852916E-1,-3.512745209E0,6.363267517E-1,1.450783081E1,1.494059723E1
7.648442917E-1,-3.664529572E0,-4.236190796E-2,1.431578018E1,1.477741972E1
7.748032917E-1,-4.033063202E0,-7.214996338E-1,1.389769958E1,1.448903773E1
7.847622916E-1,-4.371958466E0,-1.407822418E0,1.342543167E1,1.418936927E1
7.947212916E-1,-4.639901276E0,-2.048190765E0,1.290331741E1,1.386432002E1
8.046802916E-1,-4.865781555E0,-2.609822845E0,1.204724762E1,1.325228964E1
8.146392917E-1,-4.445455627E0,-3.091221771E0,1.094404175E1,1.221023249E1
